gene,p_ACAT_O,p_ACAT_O,p_ACAT_O,z_Nerve_Tibial,z_Nerve_Tibial,z_Nerve_Tibial,z_Whole_Blood,z_Whole_Blood,z_Whole_Blood
,DN,DPN,DR,DN,DPN,DR,DN,DPN,DR
ANKRD40,1.0,0.0033053156145741364,0.25556711692434353,-0.9542,1.1237,-0.9925,-0.0555,2.9348,-0.8469
AP3M1,1.2671473948911307e-05,0.009582027556359769,2.0941870152190522e-18,-4.3657,2.591,8.7521,0.8333,0.6533,1.0068
ATG101,0.3663102384751434,0.1147638626186549,0.18772774749453505,0.8225,1.2945,-1.0681,0.7556,1.2352,-1.0225
CFDP1,1.0,1.0,0.14314875674792346,-0.1085,-0.2648,-1.4248,-0.1828,0.6972,-0.7623
CUL1,1.0,0.0030130020298716168,0.006947719670163883,0.7917,-1.2109,-2.6757,-0.2758,-2.963,-1.6527
DCTN2,0.0625117226887755,4.984679344533879e-10,0.00010180294534915407,1.5525,6.1099,3.7145,1.5525,6.1099,3.7145
DNAJC4,0.04305906015521045,6.805779529968626e-20,6.705984799209445e-17,-0.2404,9.1307,8.3521,-2.0976,5.0165,1.7116
E2F4,0.00017965969832111505,5.005606610242724e-06,1.0,3.7,4.5515,0.2864,3.2694,3.9353,-1.1349
FIBP,0.0011518647201669721,0.1072746462794467,0.04832743865195324,3.048,-1.2972,-1.672,3.048,-1.2972,-1.672
GOLGA3,2.0696318467157174e-15,0.0044395665974642255,1.7803194041577192e-54,-7.9371,2.8409,-15.5428,2.3852,1.1274,-3.3877
KDM4B,6.238685550146981e-19,1.0095641893716025e-41,1.4210829135041334e-17,-8.8877,-13.5322,-8.5334,,,
LSM12,1.476242183585955e-19,6.209049162168203e-60,5.022155646890707e-22,-2.7264,-4.8388,-6.6477,-9.0465,-16.3283,-9.6478
MAPK1IP1L,0.02011820522978169,0.02294004281177715,1.0,1.5295,-1.5689,0.5306,2.2621,-2.1941,0.2493
MCMBP,0.00011350152283280916,1.4809202348993614e-07,0.000680560271613038,3.1773,-5.2549,3.1839,3.8403,-3.1381,-3.2204
PSMC1,0.09676756854986872,0.16095609807053227,0.058859066966256,-1.5406,0.9275,1.3458,-1.0419,-1.2607,-1.7341
RABGGTB,0.005577519044330641,2.8529167227637832e-05,0.006070985230011808,2.7582,-4.1846,-0.5482,1.5126,2.2976,-2.7456
RBX1,5.766145342972848e-09,0.011952278068753189,1.0,5.7065,-2.2592,0.1935,5.7065,-2.2592,0.1935
RNF181,0.5351919521868203,0.3784802167964272,0.6020185055777294,,,,0.6201,-0.8807,-0.5215
RNPS1,1.0,1.0,1.0,-0.3865,-0.6757,-0.349,-0.6946,-0.4686,0.3728
SDF4,0.01521167139635223,3.0120327793472426e-22,0.9337720258477462,,,,2.4273,9.7001,0.0831
SDHAF2,0.1669103001250395,0.014409081114935987,2.381972786018749e-16,-1.3822,-2.4469,8.2011,,,
SEC13,0.8348385826373494,0.007678252853033408,0.8846319182893547,0.2085,2.6659,-0.1451,,,
SF3B4,1.0,9.199991432845845e-20,0.007530118726295638,0.4852,-9.0237,2.4267,0.4797,-9.0211,2.4355
SPRYD3,,,,,,,,,
SRM,1.0,0.0022242306494665823,4.67765346040303e-24,-0.0847,3.0595,0.6266,-1.6787,0.4707,-10.1163
STX4,0.04339313074354603,1.0,0.023261714631589832,-1.4484,-0.326,-1.8078,-1.8846,-0.6619,-2.1158
TOMM20,2.4043956341690356e-10,1.880662201010669e-11,0.0006153784398409876,0.3551,1.1831,1.5243,6.333,6.715,3.4235
TRIP12,0.22402301809950925,0.3311998167922704,0.7323508922586834,,,,1.2159,0.9717,-0.342
TUT1,,,,,,,,,
U2AF2,0.02667373086588587,0.1842486002583184,0.0003829963600232825,1.9351,-1.0535,3.3648,1.9351,-1.0535,3.3648
