gene,trait,grp,z_Nerve_Tibial,z_Whole_Blood,n_snps_matched_NT,n_snps_matched_WB,p_ACAT_O,n_tissues,z_ACAT_O
ACTB,DN,30 HOTAIR Candidate,-1.5936,-2.3488,1.0,1.0,0.016200783241709753,2,-2.404360610737017
ACTB,DPN,30 HOTAIR Candidate,0.6193,1.4941,1.0,1.0,0.14150439640667148,2,1.4702118126137789
ACTB,DR,30 HOTAIR Candidate,-1.769,-4.4751,1.0,1.0,7.636812076056041e-06,2,-4.475120806243149
ANKRD40,DN,HK_v2,-0.9542,-0.0555,1.0,2.0,1.0,2,-1.8669045833583425e-59
ANKRD40,DPN,HK_v2,1.1237,2.9348,1.0,2.0,0.0033053156145741364,2,2.9378174724038573
ANKRD40,DR,HK_v2,-0.9925,-0.8469,1.0,2.0,0.25556711692434353,2,-1.1369310351525983
ANXA1,DN,44 Non-Candidate,-19.3538,1.7561,1.0,3.0,1.8935307738667478e-83,2,-19.3538
ANXA1,DPN,44 Non-Candidate,-17.414,6.5321,1.0,3.0,6.46079003582692e-68,2,-17.414
ANXA1,DR,44 Non-Candidate,-10.8981,1.2913,1.0,3.0,1.176891259544623e-27,2,-10.8981
ANXA5,DN,44 Non-Candidate,-1.7269,5.6947,3.0,4.0,1.2358901858835036e-08,2,-5.694700024654095
ANXA5,DPN,44 Non-Candidate,1.8899,-7.9752,3.0,4.0,1.5213426058607337e-15,2,7.975200000000003
ANXA5,DR,44 Non-Candidate,-0.024,-1.5379,3.0,4.0,1.0,2,-1.8669045833583425e-59
AP3M1,DN,HK_v2,-4.3657,0.8333,1.0,2.0,1.2671473948911307e-05,2,-4.365702686395855
AP3M1,DPN,HK_v2,2.591,0.6533,1.0,2.0,0.009582027556359769,2,2.59055871004328
AP3M1,DR,HK_v2,8.7521,1.0068,1.0,2.0,2.0941870152190522e-18,2,8.752099999999999
APPL1,DN,30 T2DM Control,1.3446,,1.0,,0.17875444336600851,1,1.3445999999999998
APPL1,DPN,30 T2DM Control,-10.0079,,1.0,,1.407075338180509e-23,1,-10.0079
APPL1,DR,30 T2DM Control,-7.811,,1.0,,5.673601504971217e-15,1,-7.811
