gene,trait,p_acat,n_tissues,in_both,z_wb
AAMP,DN,0.05752092897816256,2,True,-1.5914
AAMP,DPN,0.03353286934969828,2,True,-1.8361
AAMP,DR,1.0,2,True,-0.6511
ABCD2,DN,2.3921135947573404e-33,2,True,-12.0327
ABCD2,DPN,2.0870934578679766e-35,2,True,-12.418
ABCD2,DR,1.8473732894702812e-07,2,True,5.2141
ABHD17C,DN,4.801517245610986e-05,2,True,-3.1863
ABHD17C,DPN,3.2387703485603175e-08,2,True,-5.528
ABHD17C,DR,0.00911426402093924,2,True,-2.5
ABLIM2,DN,0.0022593607760574546,1,True,
ABLIM2,DPN,0.8716945595854702,1,True,
ABLIM2,DR,0.8231871770374789,1,True,
AC025335.1,DN,8.007072699000414e-05,1,True,
AC025335.1,DPN,0.005710969850654246,1,True,
AC025335.1,DR,0.033578143112146956,1,True,
AC093627.7,DN,0.009152559701802798,1,False,-2.6063
AC093627.7,DPN,6.318713228757404e-06,1,False,-4.5154
AC093627.7,DR,0.042788832934335726,1,False,2.0258
AC138969.4,DN,0.014118878952303116,2,True,-2.358
AC138969.4,DPN,1.0,2,True,0.5838
AC138969.4,DR,1.0,2,True,0.1067
ACAT1,DN,1.4504487153354357e-138,2,True,-25.0574
ACAT1,DPN,4.935200277126246e-07,2,True,5.0288
ACAT1,DR,7.567188996703585e-08,2,True,-5.3772
ACD,DN,0.7090048886136708,1,True,
ACD,DPN,0.6798986161414378,1,True,
ACD,DR,0.2328835708128464,1,True,
ACP2,DN,0.006435909640981995,2,True,2.7135
ACP2,DPN,0.07456350399643485,2,True,-1.0273
ACP2,DR,0.027470379235801458,2,True,1.2727
ACSL5,DN,4.887565604361084e-09,2,True,-3.6315
ACSL5,DPN,0.0002825527948634056,2,True,-1.8666
ACSL5,DR,0.013583141397325714,2,True,0.2291
ACTN4,DN,0.025808006400509207,1,False,-2.2291
ACTN4,DPN,0.46064029469210477,1,False,-0.7378
ACTN4,DR,0.005172579829306181,1,False,-2.7961
ACTR3C,DN,0.004357541987804369,1,False,2.851
ACTR3C,DPN,0.00906072776058697,1,False,-2.6098
ACTR3C,DR,9.152065010295886e-07,1,False,-4.909
ADAM17,DN,1.0,2,True,-0.6471
ADAM17,DPN,1.0,2,True,0.4928
ADAM17,DR,1.0,2,True,-0.2552
ADAM9,DN,0.011997686598784377,2,True,2.4969
ADAM9,DPN,0.0010967592420800631,2,True,-1.5299
ADAM9,DR,0.21476355972516506,2,True,0.4069
ADAMTSL4,DN,6.317490330292057e-05,1,False,4.0006
ADAMTSL4,DPN,1.846936206140678e-17,1,False,8.503
ADAMTSL4,DR,7.541253288315628e-38,1,False,-12.8602
ADAP1,DN,0.02074185563459749,2,True,-0.9311
ADAP1,DPN,0.11047630459076917,2,True,1.6002
ADAP1,DR,1.0,2,True,0.2237
ADGRE2,DN,0.5000995228525543,1,True,
ADGRE2,DPN,0.008110934407134207,1,True,
ADGRE2,DR,0.2391411940884956,1,True,
AHCYL1,DN,4.440289077193077e-05,2,True,-3.9193
AHCYL1,DPN,0.0005548847257673391,2,True,-3.2611
AHCYL1,DR,0.28563323891981035,2,True,-0.8794
AHSG,DN,0.1601766096140006,1,False,-1.4045
AHSG,DPN,0.45101810998350733,1,False,0.7537
AHSG,DR,0.8338904494361731,1,False,0.2097
AIM1L,DN,1.0,2,True,-0.2817
AIM1L,DPN,0.0016139648277898727,2,True,3.155
AIM1L,DR,4.3808847286276663e-07,2,True,5.0516
AIMP1,DN,1.7217638340861918e-12,2,True,2.0404
AIMP1,DPN,4.794064439043576e-46,2,True,14.2453
AIMP1,DR,5.122968915173396e-80,2,True,-0.7833
AKAP10,DN,0.0738806571662884,2,True,0.5824
AKAP10,DPN,0.00015062477149325987,2,True,-2.7045
AKAP10,DR,7.073558444077598e-08,2,True,-4.6889
AL022344.7,DN,2.772753648719297e-06,1,True,
AL022344.7,DPN,0.00011625873857764202,1,True,
AL022344.7,DR,0.6271709307382712,1,True,
AL928768.3,DN,2.4579707494347978e-06,1,False,-4.7116
AL928768.3,DPN,2.1207605809885265e-09,1,False,-5.9883
AL928768.3,DR,0.867632705066913,1,False,0.1667
ALDH4A1,DN,0.0051830694449803314,2,True,1.9412
ALDH4A1,DPN,1.0,2,True,0.7017
ALDH4A1,DR,0.0070342854837392174,2,True,-2.6879
ALKBH3,DN,0.010449132573929907,2,True,-2.5621
ALKBH3,DPN,0.000635137039075104,2,True,3.4157
ALKBH3,DR,0.21506101110668235,2,True,1.292
ALMS1,DN,6.578699663355843e-124,2,True,2.4442
ALMS1,DPN,1.6097032903995565e-110,2,True,0.1539
ALMS1,DR,5.2001761049180775e-166,2,True,0.632
ANKRD23,DN,3.396380149417336e-30,2,True,-3.5011
ANKRD23,DPN,3.42765259223162e-45,2,True,-10.7326
ANKRD23,DR,5.509796942123932e-09,2,True,0.9795
ANKRD49,DN,1.1285318919236003e-34,2,True,-12.226
ANKRD49,DPN,3.9186419906699544e-45,2,True,-14.0488
ANKRD49,DR,2.4685461813420293e-60,2,True,-16.3423
AOC1,DN,3.753960518324293e-16,1,True,
AOC1,DPN,0.8562417650159362,1,True,
AOC1,DR,0.2184483429381613,1,True,
AP2A2,DN,0.0817077381233101,2,True,1.9117
AP2A2,DPN,0.0019774909352726303,2,True,0.0265
AP2A2,DR,0.00024765192119110884,2,True,-0.2676
