gene,tissue,trait,zscore,pvalue,n_snps_model,n_snps_matched
AAMP,Nerve_Tibial,DR,-0.6511,0.5149561534432755,1,1
ABCD2,Nerve_Tibial,DR,2.6602,0.0078089409586642195,2,1
ABHD17C,Nerve_Tibial,DR,2.1189,0.03409911316140641,1,1
ABLIM2,Nerve_Tibial,DR,-0.2234,0.8231871770374789,2,1
AC025335.1,Nerve_Tibial,DR,-2.1251,0.033578143112146956,2,1
AC138969.4,Nerve_Tibial,DR,0.7627,0.44564462757921625,1,1
ACAT1,Nerve_Tibial,DR,0.8397,0.4010966451161421,2,1
ACD,Nerve_Tibial,DR,-1.193,0.2328835708128464,2,2
ACP2,Nerve_Tibial,DR,2.1561,0.03107619171346401,2,2
ACSL5,Nerve_Tibial,DR,-2.4911,0.012734352239050794,1,1
ADAM17,Nerve_Tibial,DR,-0.2552,0.7985576824172962,1,1
ADAM9,Nerve_Tibial,DR,-1.4255,0.15402578270565967,2,2
ADAP1,Nerve_Tibial,DR,1.1758,0.23966450672034476,4,4
ADGRE2,Nerve_Tibial,DR,1.1771,0.2391411940884956,4,4
AHCYL1,Nerve_Tibial,DR,-0.8794,0.3791706588315326,1,1
AIM1L,Nerve_Tibial,DR,2.8579,0.004264422435670484,1,1
AIMP1,Nerve_Tibial,DR,18.9422,5.122968915173396e-80,3,3
AKAP10,Nerve_Tibial,DR,-5.3846,7.260496743344932e-08,3,3
AL022344.7,Nerve_Tibial,DR,0.4857,0.6271709307382712,2,2
ALDH4A1,Nerve_Tibial,DR,1.1438,0.25269638148295764,2,1
ALKBH3,Nerve_Tibial,DR,0.596,0.5511843313222884,1,1
ALMS1,Nerve_Tibial,DR,27.4605,5.200176104918077e-166,3,2
ANKRD23,Nerve_Tibial,DR,-5.831,5.509796999609364e-09,1,1
ANKRD49,Nerve_Tibial,DR,-16.3423,4.9370923626840586e-60,1,1
AOC1,Nerve_Tibial,DR,-1.2307,0.2184483429381613,1,1
AP2A2,Nerve_Tibial,DR,3.6649,0.0002474053863171933,4,3
AP2M1,Nerve_Tibial,DR,1.4372,0.1506698173616032,1,1
APEH,Nerve_Tibial,DR,-3.5663,0.000362106775098029,2,1
ARHGAP31,Nerve_Tibial,DR,-0.8275,0.4079353368889764,1,1
ARHGEF10,Nerve_Tibial,DR,-14.0798,5.0563141759933146e-45,5,3
ARL4D,Nerve_Tibial,DR,1.2313,0.21820395664606052,2,2
ARMC1,Nerve_Tibial,DR,-1.0327,0.3017620357701851,2,2
ARPIN,Nerve_Tibial,DR,-1.8682,0.06173144392327535,3,3
ARSK,Nerve_Tibial,DR,-1.6983,0.0894526776032989,2,2
ASAH2B,Nerve_Tibial,DR,-5.1158,3.1247478746356466e-07,3,3
ASB1,Nerve_Tibial,DR,1.3536,0.17587196654642356,2,2
AZI2,Nerve_Tibial,DR,-0.1058,0.9157416925067056,2,2
BAG5,Nerve_Tibial,DR,4.7552,1.982096095661722e-06,1,1
BAIAP2L2,Nerve_Tibial,DR,-0.6047,0.5453928536885333,3,1
BANF1,Nerve_Tibial,DR,-1.918,0.05510489653874417,3,3
BBS2,Nerve_Tibial,DR,-3.163,0.001561275681418888,3,3
BCAP29,Nerve_Tibial,DR,1.5401,0.12353262995122535,3,2
BCAS2,Nerve_Tibial,DR,6.9412,3.886573573481516e-12,1,1
BDP1,Nerve_Tibial,DR,3.0676,0.0021579019525082427,3,3
BEND5,Nerve_Tibial,DR,5.9484,2.707363220990778e-09,1,1
BPI,Nerve_Tibial,DR,-0.0635,0.9493704865840287,3,2
BRIP1,Nerve_Tibial,DR,3.0633,0.0021892043798804792,3,3
BTBD19,Nerve_Tibial,DR,3.1539,0.0016108959315706173,1,1
C12ORF49,Nerve_Tibial,DR,-3.7257,0.00019480740442945558,2,1
C19ORF18,Nerve_Tibial,DR,-3.8962,9.772851095651848e-05,3,2
C1ORF123,Nerve_Tibial,DR,-1.6163,0.10603966451488132,2,1
C2CD2,Nerve_Tibial,DR,-1.2,0.23012248552283765,3,2
C2ORF69,Nerve_Tibial,DR,0.0422,0.9663685381975877,1,1
C3ORF20,Nerve_Tibial,DR,-3.4475,0.0005657039246675906,1,1
C3ORF38,Nerve_Tibial,DR,5.0635,4.1171502712007454e-07,1,1
C4ORF32,Nerve_Tibial,DR,-3.159,0.0015829068822508544,1,1
C5ORF15,Nerve_Tibial,DR,-3.5402,0.000399810116431451,2,1
CA11,Nerve_Tibial,DR,-0.0517,0.95876693679367,2,2
CA8,Nerve_Tibial,DR,-1.9103,0.05609237550222428,2,2
CACUL1,Nerve_Tibial,DR,-0.7377,0.46072456775956666,3,2
CAPZA2,Nerve_Tibial,DR,-1.4366,0.15084586521711688,2,2
CARM1,Nerve_Tibial,DR,-3.0034,0.0026699165214267473,2,2
CASC4,Nerve_Tibial,DR,3.8901,0.00010019722950916459,1,1
CBX1,Nerve_Tibial,DR,9.1582,5.27755904491214e-20,2,2
CBX6,Nerve_Tibial,DR,2.1974,0.027995213945445543,2,2
CCDC6,Nerve_Tibial,DR,5.3665,8.027965780625838e-08,1,1
CCDC80,Nerve_Tibial,DR,-6.0793,1.2071176162640212e-09,2,2
CCL4,Nerve_Tibial,DR,2.9359,0.0033258251542017444,1,1
CD5,Nerve_Tibial,DR,2.527,0.01150292583045706,1,1
CD72,Nerve_Tibial,DR,-0.4331,0.6649567019272442,1,1
CDC37L1-AS1,Nerve_Tibial,DR,5.5701,2.5452890355924192e-08,2,2
CDC42,Nerve_Tibial,DR,5.8788,4.13373629087347e-09,2,1
CDC7,Nerve_Tibial,DR,-1.4629,0.1434828589242558,2,2
CDH13,Nerve_Tibial,DR,2.6693,0.007600543866902278,1,1
CDHR1,Nerve_Tibial,DR,-0.9952,0.31965008540365547,2,2
CDK11B,Nerve_Tibial,DR,-9.2739,1.7938494177706788e-20,2,1
CDS1,Nerve_Tibial,DR,-6.766,1.3235113089462788e-11,2,1
CES3,Nerve_Tibial,DR,1.9405,0.052315662827211146,1,1
CFDP1,Nerve_Tibial,DR,-1.4248,0.15421422540733637,3,2
CHML,Nerve_Tibial,DR,-0.4418,0.6586666069148748,3,2
CHMP2A,Nerve_Tibial,DR,-4.3985,1.0897790200080807e-05,2,2
CHRNE,Nerve_Tibial,DR,0.5931,0.5531074065459782,2,2
CISD3,Nerve_Tibial,DR,-0.4202,0.6743648639152257,2,2
CITED2,Nerve_Tibial,DR,6.4187,1.3746302853038772e-10,1,1
CLEC10A,Nerve_Tibial,DR,2.4558,0.014057936636003587,1,1
CLEC2D,Nerve_Tibial,DR,7.0602,1.6624404401432657e-12,5,5
CLECL1,Nerve_Tibial,DR,-13.6675,1.5872750409500332e-42,2,1
CLIP4,Nerve_Tibial,DR,-3.4209,0.0006241648685510481,1,1
CLN3,Nerve_Tibial,DR,-1.0809,0.2797322002662111,1,1
COL6A2,Nerve_Tibial,DR,-27.2603,1.2545241623815473e-163,4,4
COL7A1,Nerve_Tibial,DR,-0.4058,0.6849234320174805,1,1
CPNE3,Nerve_Tibial,DR,-1.1208,0.2623814601182713,3,2
CPSF2,Nerve_Tibial,DR,1.603,0.10893699342748639,3,2
CRACR2B,Nerve_Tibial,DR,1.1613,0.24550956892155892,3,2
CRYGS,Nerve_Tibial,DR,-30.064,1.4346573957498418e-198,3,3
CTBS,Nerve_Tibial,DR,-7.9578,1.7519469123212263e-15,3,3
CTD-2081C10.7,Nerve_Tibial,DR,0.8297,0.4066950550049864,1,1
CTD-3116E22.8,Nerve_Tibial,DR,3.0021,0.0026816553805481796,2,2
CYB5R3,Nerve_Tibial,DR,-2.8049,0.005032687527591012,4,3
DAPP1,Nerve_Tibial,DR,0.3963,0.6919177085341832,2,2
DBF4B,Nerve_Tibial,DR,2.6561,0.007904946879569412,3,3
DCTD,Nerve_Tibial,DR,-3.2337,0.0012217866832617463,4,3
DCTN5,Nerve_Tibial,DR,2.9102,0.0036114639826857822,3,2
DDHD1,Nerve_Tibial,DR,4.5686,4.9103429581657665e-06,2,2
DDIAS,Nerve_Tibial,DR,-3.1759,0.0014938669041755267,2,2
DEGS2,Nerve_Tibial,DR,0.647,0.5176417008194698,2,1
DENND5A,Nerve_Tibial,DR,0.0737,0.9412458047245941,1,1
DMXL1,Nerve_Tibial,DR,8.0265,1.0028659075419992e-15,2,1
DNAJC15,Nerve_Tibial,DR,1.2217,0.2218261157558769,1,1
DNAJC9,Nerve_Tibial,DR,-8.7129,2.960802023760669e-18,1,1
