gene,trait,p_acat,n_tissues,in_both
AAMP,DN,0.05752092897816256,2,True
AAMP,DPN,0.03353286934969828,2,True
AAMP,DR,1.0,2,True
AAR2,DN,3.032382527377565e-06,2,True
AAR2,DPN,9.759666459673052e-06,2,True
AAR2,DR,4.96391535996791e-06,2,True
AARS,DN,6.517243327806014e-06,2,True
AARS,DPN,0.053417476914133705,2,True
AARS,DR,4.413769324813968e-05,2,True
AARSD1,DN,2.3100232140340934e-12,2,True
AARSD1,DPN,0.00010129146877972503,2,True
AARSD1,DR,3.2446355224379837e-09,2,True
ABCF2,DN,6.615866184162508e-07,2,True
ABCF2,DPN,5.927766535042871e-10,2,True
ABCF2,DR,6.203134273568282e-13,2,True
ACBD3,DN,0.0019576574528904606,2,True
ACBD3,DPN,0.002303813689642446,2,True
ACBD3,DR,1.0,2,True
ACBD6,DN,1.8112599383461653e-06,2,True
ACBD6,DPN,0.0005458874338962645,2,True
ACBD6,DR,0.02069852465861984,2,True
ACTR1A,DN,0.001161194197297039,2,True
ACTR1A,DPN,2.616531320061258e-07,2,True
ACTR1A,DR,0.0017228683894606903,2,True
ACTR1B,DN,0.10929153499590416,2,True
ACTR1B,DPN,1.875175545154749e-06,2,True
ACTR1B,DR,0.003987291616214877,2,True
ADH5,DN,0.00024054204564725301,2,True
ADH5,DPN,0.1356326341775826,2,True
ADH5,DR,0.15752296029128507,2,True
ADIPOR2,DN,0.02650725714324559,2,True
ADIPOR2,DPN,7.434165329707148e-05,2,True
ADIPOR2,DR,1.0,2,True
AGAP3,DN,1.5836940580000665e-30,2,True
AGAP3,DPN,1.9015940719879616e-64,2,True
AGAP3,DR,8.377244411471721e-14,2,True
AGGF1,DN,0.046861165714769386,1,False
AGGF1,DPN,0.26428280974422846,1,False
AGGF1,DR,0.4880871581572292,1,False
AHSA1,DN,0.199598668933928,1,True
AHSA1,DPN,0.042758757067585154,1,True
AHSA1,DR,0.52114000324079,1,True
AIDA,DN,0.8344411806908614,1,False
AIDA,DPN,0.06444001729387258,1,False
AIDA,DR,1.0185981545438125e-05,1,False
AK2,DN,0.010306792123891783,2,True
AK2,DPN,0.10723209292100211,2,True
AK2,DR,0.01528290369129828,2,True
AK3,DN,1.0869255561966883e-14,2,True
AK3,DPN,6.890745806844586e-19,2,True
AK3,DR,3.4506662388096583e-20,2,True
AKIRIN1,DN,6.114660529033647e-13,1,False
AKIRIN1,DPN,0.14307271990308496,1,False
AKIRIN1,DR,0.028296258726743653,1,False
AKIRIN2,DN,0.007459999990372922,2,True
AKIRIN2,DPN,0.04710751376245666,2,True
AKIRIN2,DR,0.4457102277392915,2,True
ALDH9A1,DN,4.738323588242592e-10,2,True
ALDH9A1,DPN,0.0021042681519269487,2,True
ALDH9A1,DR,0.0009543766519686286,2,True
ALKBH5,DN,1.0,2,True
ALKBH5,DPN,6.24576774505615e-05,2,True
ALKBH5,DR,1.0,2,True
AMFR,DN,0.15039429607307286,2,True
AMFR,DPN,1.3137932374339464e-06,2,True
AMFR,DR,5.14165754434046e-32,2,True
ANAPC2,DN,0.0006262111195481807,2,True
ANAPC2,DPN,5.797166525893823e-10,2,True
ANAPC2,DR,0.0016484323848055895,2,True
ANKFY1,DN,0.5330935800414949,1,True
ANKFY1,DPN,0.07109245028967671,1,True
ANKFY1,DR,0.02836610123421077,1,True
ANKLE2,DN,0.0002834376266570543,2,True
