gene,tissue,trait,zscore,pvalue,n_snps_model,n_snps_matched
AAMP,Nerve_Tibial,DR,-0.6511,0.5149561534432755,1,1
AAR2,Nerve_Tibial,DR,4.4187,9.927830717489548e-06,1,1
AARS,Nerve_Tibial,DR,2.4746,0.013338856397972512,3,3
AARSD1,Nerve_Tibial,DR,1.6592,0.09708249201437547,1,1
ABCF2,Nerve_Tibial,DR,-0.1774,0.8592036558710079,1,1
ACBD3,Nerve_Tibial,DR,0.7357,0.4619158722665294,2,2
ACBD6,Nerve_Tibial,DR,0.1929,0.847030581227328,1,1
ACTR1A,Nerve_Tibial,DR,-3.0293,0.002451225931087418,1,1
ACTR1B,Nerve_Tibial,DR,-0.438,0.6613670908980931,3,3
ADH5,Nerve_Tibial,DR,0.1241,0.9012636420226896,3,2
ADIPOR2,Nerve_Tibial,DR,-0.1071,0.9146983651236591,1,1
AGAP3,Nerve_Tibial,DR,-7.4643,8.377244411607434e-14,2,1
AHSA1,Nerve_Tibial,DR,0.6416,0.52114000324079,2,1
AK2,Nerve_Tibial,DR,2.1961,0.02808313515675808,2,1
AK3,Nerve_Tibial,DR,-9.2039,3.450666238809661e-20,8,7
AKIRIN2,Nerve_Tibial,DR,0.6086,0.542798008036903,1,1
ALDH9A1,Nerve_Tibial,DR,-2.3505,0.018746040803049997,4,2
ALKBH5,Nerve_Tibial,DR,-0.2404,0.8100050181844449,1,1
AMFR,Nerve_Tibial,DR,-11.7768,5.141657544340458e-32,3,3
ANAPC2,Nerve_Tibial,DR,0.1195,0.9048602999294282,2,2
ANKFY1,Nerve_Tibial,DR,2.1922,0.02836610123421077,1,1
ANKLE2,Nerve_Tibial,DR,0.8087,0.41869588498396737,4,3
ANKRD10,Nerve_Tibial,DR,2.1283,0.033313932731781855,3,3
ANKRD40,Nerve_Tibial,DR,-0.9925,0.3209763942415832,1,1
ANKS1A,Nerve_Tibial,DR,-13.5781,5.4015547536507395e-42,2,2
AP2M1,Nerve_Tibial,DR,1.4372,0.1506698173616032,1,1
AP3M1,Nerve_Tibial,DR,8.7521,2.0940092413957993e-18,1,1
APEH,Nerve_Tibial,DR,-3.5663,0.000362106775098029,2,1
APH1A,Nerve_Tibial,DR,5.6694,1.4330119516145785e-08,1,1
ARCN1,Nerve_Tibial,DR,-0.7392,0.45980360841879414,1,1
ARF4,Nerve_Tibial,DR,-5.9667,2.4205553585078768e-09,2,2
ARFGAP2,Nerve_Tibial,DR,0.5461,0.5849989116901909,2,2
ARFGAP3,Nerve_Tibial,DR,-5.1282,2.925289035391672e-07,2,1
ARFGEF2,Nerve_Tibial,DR,-0.7269,0.4672858057934609,1,1
ARHGAP1,Nerve_Tibial,DR,-2.3635,0.018102283971462275,2,2
ARIH2,Nerve_Tibial,DR,-1.4011,0.16117609546875686,1,1
ARL1,Nerve_Tibial,DR,2.1036,0.03540949029234036,2,1
ARL14EP,Nerve_Tibial,DR,2.2161,0.026687097995979472,3,3
ARL6IP1,Nerve_Tibial,DR,-2.8079,0.004986956992622739,2,2
ARL8B,Nerve_Tibial,DR,-6.878,6.069655560484628e-12,3,3
ARMC1,Nerve_Tibial,DR,-1.0327,0.3017620357701851,2,2
ARNT,Nerve_Tibial,DR,0.3542,0.7231592134757829,3,2
ARPC2,Nerve_Tibial,DR,0.3809,0.7032502159994385,1,1
ARPP19,Nerve_Tibial,DR,24.8723,1.4830238070888273e-136,2,2
ASNSD1,Nerve_Tibial,DR,5.5388,3.045233592873459e-08,2,2
ASXL1,Nerve_Tibial,DR,0.6998,0.4840325825001999,1,1
ATF6,Nerve_Tibial,DR,0.0181,0.9855698693349779,2,2
ATF6B,Nerve_Tibial,DR,104.4445,0.0,2,1
ATG101,Nerve_Tibial,DR,-1.0681,0.2854935386420886,1,1
ATG3,Nerve_Tibial,DR,7.9767,1.5026850169063314e-15,1,1
B4GALT7,Nerve_Tibial,DR,-3.8864,0.00010172953327940128,3,3
BANF1,Nerve_Tibial,DR,-1.918,0.05510489653874417,3,3
