gene,tissue,trait,zscore,pvalue,n_snps_model,n_snps_matched
ANKRD40,Nerve_Tibial,DR,-0.9925,0.3209763942415832,1,1
AP3M1,Nerve_Tibial,DR,8.7521,2.0940092413957993e-18,1,1
ATG101,Nerve_Tibial,DR,-1.0681,0.2854935386420886,1,1
CFDP1,Nerve_Tibial,DR,-1.4248,0.15421422540733637,3,2
CUL1,Nerve_Tibial,DR,-2.6757,0.007457759153230787,1,1
DCTN2,Nerve_Tibial,DR,3.7145,0.00020360388354030324,1,1
DNAJC4,Nerve_Tibial,DR,8.3521,6.704212816071379e-17,2,2
E2F4,Nerve_Tibial,DR,0.2864,0.7746013347472298,2,2
FIBP,Nerve_Tibial,DR,-1.672,0.09452690770222617,1,1
GOLGA3,Nerve_Tibial,DR,-15.5428,1.7808843766618257e-54,3,3
KDM4B,Nerve_Tibial,DR,-8.5334,1.4207258706276073e-17,1,1
LSM12,Nerve_Tibial,DR,-6.6477,2.9779812558690866e-11,2,2
MAPK1IP1L,Nerve_Tibial,DR,0.5306,0.5957019209366636,1,1
MCMBP,Nerve_Tibial,DR,3.1839,0.0014530163302644361,2,1
PSMC1,Nerve_Tibial,DR,1.3458,0.1783774093221886,2,2
RABGGTB,Nerve_Tibial,DR,-0.5482,0.5835211973121905,3,2
RBX1,Nerve_Tibial,DR,0.1935,0.8465737368912573,1,1
RNPS1,Nerve_Tibial,DR,-0.349,0.7270739356439893,2,2
SDHAF2,Nerve_Tibial,DR,8.2011,2.3818646766828545e-16,2,1
SEC13,Nerve_Tibial,DR,-0.1451,0.8846442045025511,2,1
SF3B4,Nerve_Tibial,DR,2.4267,0.015236941421159758,1,1
SRM,Nerve_Tibial,DR,0.6266,0.5309541501602683,2,2
STX4,Nerve_Tibial,DR,-1.8078,0.07064050748590502,1,1
TOMM20,Nerve_Tibial,DR,1.5243,0.1274272365221117,2,2
U2AF2,Nerve_Tibial,DR,3.3648,0.0007658576721362605,2,1
ANKRD40,Whole_Blood,DR,-0.8469,0.39703478412195137,2,2
AP3M1,Whole_Blood,DR,1.0068,0.3140143656707569,2,2
ATG101,Whole_Blood,DR,-1.0225,0.3065253984909696,2,1
CFDP1,Whole_Blood,DR,-0.7623,0.4458714639051018,3,1
CUL1,Whole_Blood,DR,-1.6527,0.09838865985369755,2,2
DCTN2,Whole_Blood,DR,3.7145,0.00020360388354030324,1,1
DNAJC4,Whole_Blood,DR,1.7116,0.08696141456199424,2,2
E2F4,Whole_Blood,DR,-1.1349,0.2564295096800703,2,2
FIBP,Whole_Blood,DR,-1.672,0.09452690770222605,1,1
GOLGA3,Whole_Blood,DR,-3.3877,0.0007047273920514123,2,2
LSM12,Whole_Blood,DR,-9.6478,5.022632938080533e-22,2,1
MAPK1IP1L,Whole_Blood,DR,0.2493,0.8031008132933403,2,1
MCMBP,Whole_Blood,DR,-3.2204,0.001280051437743329,3,2
PSMC1,Whole_Blood,DR,-1.7341,0.08289272225485332,1,1
RABGGTB,Whole_Blood,DR,-2.7456,0.006039873016213209,1,1
RBX1,Whole_Blood,DR,0.1935,0.8465737368912573,1,1
RNF181,Whole_Blood,DR,-0.5215,0.6020054339339276,2,1
RNPS1,Whole_Blood,DR,0.3728,0.7093338938284288,1,1
SDF4,Whole_Blood,DR,0.0831,0.933762109462796,2,2
SF3B4,Whole_Blood,DR,2.4355,0.014873206918709608,1,1
SRM,Whole_Blood,DR,-10.1163,4.6797510880547384e-24,2,2
STX4,Whole_Blood,DR,-2.1158,0.034361371045008214,1,1
TOMM20,Whole_Blood,DR,3.4235,0.0006182647279648399,3,3
TRIP12,Whole_Blood,DR,-0.342,0.7323648135448547,2,1
U2AF2,Whole_Blood,DR,3.3648,0.0007658576721362621,1,1
ANKRD40,Nerve_Tibial,DN,-0.9542,0.3399594628762056,1,1
AP3M1,Nerve_Tibial,DN,-4.3657,1.2674394129919384e-05,1,1
ATG101,Nerve_Tibial,DN,0.8225,0.4107723569624759,1,1
CFDP1,Nerve_Tibial,DN,-0.1085,0.9135914864296534,3,2
CUL1,Nerve_Tibial,DN,0.7917,0.4285157353313123,1,1
DCTN2,Nerve_Tibial,DN,1.5525,0.12055238827395559,1,1
DNAJC4,Nerve_Tibial,DN,-0.2404,0.8099840722242357,2,2
E2F4,Nerve_Tibial,DN,3.7,0.00021563133660152878,2,2
FIBP,Nerve_Tibial,DN,3.048,0.0023033407964031713,1,1
GOLGA3,Nerve_Tibial,DN,-7.9371,2.070081201337283e-15,3,3
KDM4B,Nerve_Tibial,DN,-8.8877,6.237490687492958e-19,1,1
LSM12,Nerve_Tibial,DN,-2.7264,0.006402737591338645,2,2
MAPK1IP1L,Nerve_Tibial,DN,1.5295,0.1261505426842479,1,1
MCMBP,Nerve_Tibial,DN,3.1773,0.001486546647677529,2,1
PSMC1,Nerve_Tibial,DN,-1.5406,0.12341669132475669,2,2
RABGGTB,Nerve_Tibial,DN,2.7582,0.005812807735225826,3,2
RBX1,Nerve_Tibial,DN,5.7065,1.1534244414877612e-08,1,1
RNPS1,Nerve_Tibial,DN,-0.3865,0.6990994041446315,2,2
SDHAF2,Nerve_Tibial,DN,-1.3822,0.16689558903436308,2,1
SEC13,Nerve_Tibial,DN,0.2085,0.8348666580141239,2,1
SF3B4,Nerve_Tibial,DN,0.4852,0.6275659095238559,1,1
SRM,Nerve_Tibial,DN,-0.0847,0.9325219002988426,2,2
STX4,Nerve_Tibial,DN,-1.4484,0.14751559410230886,1,1
TOMM20,Nerve_Tibial,DN,0.3551,0.7225031363308566,2,2
U2AF2,Nerve_Tibial,DN,1.9351,0.052980216081925026,2,1
ANKRD40,Whole_Blood,DN,-0.0555,0.9557140670339903,2,2
AP3M1,Whole_Blood,DN,0.8333,0.40468695891495293,2,2
ATG101,Whole_Blood,DN,0.7556,0.4499186403146736,2,1
CFDP1,Whole_Blood,DN,-0.1828,0.8549263690203844,3,1
CUL1,Whole_Blood,DN,-0.2758,0.7826845449981356,2,2
DCTN2,Whole_Blood,DN,1.5525,0.12055238827395559,1,1
DNAJC4,Whole_Blood,DN,-2.0976,0.035942862568119384,2,2
E2F4,Whole_Blood,DN,3.2694,0.0010776215311798431,2,2
FIBP,Whole_Blood,DN,3.048,0.002303340796403166,1,1
GOLGA3,Whole_Blood,DN,2.3852,0.017070309584849536,2,2
LSM12,Whole_Blood,DN,-9.0465,1.4760944811210732e-19,2,1
MAPK1IP1L,Whole_Blood,DN,2.2621,0.023693224624962476,2,1
MCMBP,Whole_Blood,DN,3.8403,0.00012290085214301032,3,2
PSMC1,Whole_Blood,DN,-1.0419,0.29743649182345994,1,1
RABGGTB,Whole_Blood,DN,1.5126,0.1303753808077794,1,1
RBX1,Whole_Blood,DN,5.7065,1.1534244414877612e-08,1,1
RNF181,Whole_Blood,DN,0.6201,0.5352190596606827,2,1
RNPS1,Whole_Blood,DN,-0.6946,0.4873214230711515,1,1
SDF4,Whole_Blood,DN,2.4273,0.015210129546335778,2,2
SF3B4,Whole_Blood,DN,0.4797,0.6314474374684753,1,1
SRM,Whole_Blood,DN,-1.6787,0.093219659312987,2,2
STX4,Whole_Blood,DN,-1.8846,0.05948725562057344,1,1
TOMM20,Whole_Blood,DN,6.333,2.4051603594760294e-10,3,3
TRIP12,Whole_Blood,DN,1.2159,0.22403595643598598,2,1
U2AF2,Whole_Blood,DN,1.9351,0.05298021608192506,1,1
ANKRD40,Nerve_Tibial,DPN,1.1237,0.26115890878724146,1,1
AP3M1,Nerve_Tibial,DPN,2.591,0.009570802035989763,1,1
ATG101,Nerve_Tibial,DPN,1.2945,0.19549345871484797,1,1
CFDP1,Nerve_Tibial,DPN,-0.2648,0.7911910727464694,3,2
CUL1,Nerve_Tibial,DPN,-1.2109,0.22591480766703997,1,1
DCTN2,Nerve_Tibial,DPN,6.1099,9.971944530917014e-10,1,1
DNAJC4,Nerve_Tibial,DPN,9.1307,6.808597990451415e-20,2,2
E2F4,Nerve_Tibial,DPN,4.5515,5.327042688503017e-06,2,2
FIBP,Nerve_Tibial,DPN,-1.2972,0.19456181747126575,1,1
GOLGA3,Nerve_Tibial,DPN,2.8409,0.004499042123437051,3,3
KDM4B,Nerve_Tibial,DPN,-13.5322,1.0091963425880657e-41,1,1
LSM12,Nerve_Tibial,DPN,-4.8388,1.3063686414732786e-06,2,2
MAPK1IP1L,Nerve_Tibial,DPN,-1.5689,0.1166733807664297,1,1
MCMBP,Nerve_Tibial,DPN,-5.2549,1.481146933993643e-07,2,1
PSMC1,Nerve_Tibial,DPN,0.9275,0.3536871307576536,2,2
RABGGTB,Nerve_Tibial,DPN,-4.1846,2.8561105770668814e-05,3,2
RBX1,Nerve_Tibial,DPN,-2.2592,0.02387177898362021,1,1
RNPS1,Nerve_Tibial,DPN,-0.6757,0.49925968465681936,2,2
SDHAF2,Nerve_Tibial,DPN,-2.4469,0.01440710350944563,2,1
SEC13,Nerve_Tibial,DPN,2.6659,0.007677982854342102,2,1
SF3B4,Nerve_Tibial,DPN,-9.0237,1.8187290575776445e-19,1,1
