gene,tissue,trait,zscore,pvalue,n_snps_model,n_snps_matched
ACTB,Nerve_Tibial,DR,-1.769,0.07689582212207385,1,1
ANXA1,Nerve_Tibial,DR,-10.8981,1.1774458070764363e-27,1,1
ANXA5,Nerve_Tibial,DR,-0.024,0.9808322401793319,3,3
APPL1,Nerve_Tibial,DR,-7.811,5.6741034069227686e-15,1,1
ARAP1,Nerve_Tibial,DR,-2.1893,0.02857643132492375,2,2
C1QBP,Nerve_Tibial,DR,-0.7199,0.47156344827846547,2,2
CAMK1D,Nerve_Tibial,DR,3.6323,0.00028089564455780657,2,1
CDKAL1,Nerve_Tibial,DR,-2.0927,0.03637751447563568,3,3
DDX5,Nerve_Tibial,DR,1.1656,0.24376521366828444,1,1
DHX9,Nerve_Tibial,DR,2.0696,0.03848720370201941,1,1
DUSP8,Nerve_Tibial,DR,-2.0892,0.03669295452359723,2,1
EHD4,Nerve_Tibial,DR,3.2676,0.0010847308836026126,3,3
EIF4A1,Nerve_Tibial,DR,4.5645,5.006117521615811e-06,1,1
FTO,Nerve_Tibial,DR,-0.0621,0.9504993091358028,1,1
GAPDH,Nerve_Tibial,DR,-0.0695,0.9445832287208077,2,2
GCK,Nerve_Tibial,DR,2.3971,0.01652645694033827,3,3
GCKR,Nerve_Tibial,DR,7.2518,4.113964062868491e-13,1,1
GRB14,Nerve_Tibial,DR,-0.618,0.5365742435188872,1,1
H2AFV,Nerve_Tibial,DR,1.4177,0.15626724146942436,2,2
HHEX,Nerve_Tibial,DR,2.0459,0.040766917404584394,1,1
HNRNPA3,Nerve_Tibial,DR,3.3783,0.0007293431873726304,1,1
HSP90AB1,Nerve_Tibial,DR,3.8845,0.00010255297895431396,3,3
JAZF1,Nerve_Tibial,DR,0.0652,0.9480474444473063,2,2
KCNJ11,Nerve_Tibial,DR,0.1812,0.8561959377418525,2,2
MYH9,Nerve_Tibial,DR,1.2981,0.19424126231276712,2,2
PDIA3,Nerve_Tibial,DR,13.5157,1.2632975645817867e-41,1,1
PNN,Nerve_Tibial,DR,-9.5202,1.729133939937619e-21,1,1
PPARG,Nerve_Tibial,DR,-1.0519,0.2928588196493487,1,1
PROX1,Nerve_Tibial,DR,-1.738,0.08221268090331668,1,1
PUF60,Nerve_Tibial,DR,1.5585,0.1191090296569573,1,1
RNH1,Nerve_Tibial,DR,13.8246,1.8105115032398794e-43,4,4
RPL10A,Nerve_Tibial,DR,-5.4849,4.137869966837454e-08,5,5
RPL13A,Nerve_Tibial,DR,-0.8005,0.4234071765759131,1,1
RPL14,Nerve_Tibial,DR,-2.4388,0.014737832852029896,1,1
RPL23A,Nerve_Tibial,DR,4.7399,2.1379344670246072e-06,1,1
RPL27A,Nerve_Tibial,DR,2.4653,0.01369007937189862,2,2
RPL7,Nerve_Tibial,DR,2.1763,0.02953062012224457,1,1
RPL8,Nerve_Tibial,DR,-1.0977,0.2723395215860515,1,1
RPLP0,Nerve_Tibial,DR,1.9268,0.05400361347779006,2,2
RPN1,Nerve_Tibial,DR,-0.3721,0.7098098750153219,3,1
RPS14,Nerve_Tibial,DR,-1.4853,0.13747635985283835,3,1
RPS16,Nerve_Tibial,DR,-0.0796,0.9365806286047086,2,2
RPS18,Nerve_Tibial,DR,6.8153,9.408619039532355e-12,2,2
RPS25,Nerve_Tibial,DR,3.7949,0.00014768036060978826,2,1
RPS3,Nerve_Tibial,DR,-0.4169,0.6767607277387535,2,1
RPS3A,Nerve_Tibial,DR,-1.6612,0.09667627110782778,2,1
