Gene,Trait,Tissue,Group,Z_eQTLGen,P_eQTLGen,n_SNPs_Model,n_SNPs_Matched,Z_GTEx_Multi
ILF2,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-2.282,0.0224920660080836,128,118,
YWHAQ,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-8.6388,0.0,321,306,
XRCC5,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-5.6195,1.915430147825248e-08,281,276,
RPSA,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,0.7364,0.461489396780891,191,180,
RPS14,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,2.8735,0.0040595773154341,149,144,
TUBB,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,47.8313,0.0,830,146,
RPS18,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,7.5234,5.329070518200752e-14,511,156,
HSP90AB1,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-0.4909,0.6235124048307294,1,1,
ACTB,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-2.0029,0.0451933760038238,2,2,
H2AFV,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-2.4704,0.0134958982781085,197,186,
EIF4H,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,4.8829,1.0452875085498192e-06,144,139,
RPL8,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,0.0409,0.9673873258593346,1052,976,
VCP,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,3.2246,0.0012614268661297,796,763,
RNH1,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,11.6172,0.0,714,587,
RPS13,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,0.3733,0.7089474058848706,30,28,
RPS3,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,0.8589,0.3904224297560486,22,22,
RPS25,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,13.8956,0.0,157,153,
HSPA8,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,2.1083,0.0350015426188736,250,240,
GAPDH,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,8.8216,0.0,470,443,
HSP90B1,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-6.8904,5.5639937102114345e-12,23,23,
CKAP4,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,6.1839,6.25535623299811e-10,460,448,
RPLP0,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,7.9443,1.9984014443252818e-15,69,63,
EIF4A1,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,0.3875,0.6984048339342552,2,2,
RPL23A,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,0.4609,0.6448599566964852,8,8,
DDX5,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-8.3346,0.0,281,257,
RPS16,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,3.8897,0.0001003846289822,311,301,
RPL13A,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,6.0405,1.5361283356440934e-09,548,504,
XRCC6,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-2.1911,0.0284423665226087,69,64,
