Gene_group,Phenotype,Source,k,N,FDR_rate_pct,CP_CI_low_pct,CP_CI_high_pct
Candidate,DR,GTEx,13,27,48.1,28.7,68.1
NonCandidate,DR,GTEx,13,27,48.1,28.7,68.1
T2DM_Control,DR,GTEx,12,19,63.2,38.4,83.7
Candidate,DN,GTEx,17,27,63.0,42.4,80.6
NonCandidate,DN,GTEx,13,27,48.1,28.7,68.1
T2DM_Control,DN,GTEx,10,19,52.6,28.9,75.6
Candidate,DPN,GTEx,12,27,44.4,25.5,64.7
NonCandidate,DPN,GTEx,15,27,55.6,35.3,74.5
T2DM_Control,DPN,GTEx,8,19,42.1,20.3,66.5
Housekeeping,DR,GTEx,15,28,53.6,33.9,72.5
Housekeeping,DN,GTEx,12,28,42.9,24.5,62.8
Housekeeping,DPN,GTEx,19,28,67.9,47.6,84.1
Candidate,DR,eQTLGen_harmonized,10,24,41.7,22.1,63.4
NonCandidate,DR,eQTLGen_harmonized,10,24,41.7,22.1,63.4
T2DM_Control,DR,eQTLGen_harmonized,8,13,61.5,31.6,86.1
Candidate,DN,eQTLGen_harmonized,12,24,50.0,29.1,70.9
NonCandidate,DN,eQTLGen_harmonized,14,24,58.3,36.6,77.9
T2DM_Control,DN,eQTLGen_harmonized,4,13,30.8,9.1,61.4
Candidate,DPN,eQTLGen_harmonized,16,24,66.7,44.7,84.4
NonCandidate,DPN,eQTLGen_harmonized,10,24,41.7,22.1,63.4
T2DM_Control,DPN,eQTLGen_harmonized,5,13,38.5,13.9,68.4
Housekeeping,DR,eQTLGen_harmonized,17,28,60.7,40.6,78.5
Housekeeping,DN,eQTLGen_harmonized,14,28,50.0,30.6,69.4
Housekeeping,DPN,eQTLGen_harmonized,13,28,46.4,27.5,66.1
