Group,Gene,ENSG,Z_eQTLGen,P_two_sided,BH_FDR_q,FDR_significant,n_snps_matched,Testable
Candidate,ACTB,ENSG00000075624,1.565,0.118,0.2042,No,23,Yes
Candidate,CKAP4,ENSG00000136026,4.755,1.99e-06,1.191e-05,Yes,633,Yes
Candidate,DDX5,ENSG00000108654,-3.868,0.00011,0.0004387,Yes,335,Yes
Candidate,EIF4H,ENSG00000106682,-1.720,0.0854,0.1708,No,150,Yes
Candidate,H2AFV,ENSG00000105968,0.396,0.692,0.7225,No,248,Yes
Candidate,HSP90AB1,ENSG00000096384,-1.297,0.195,0.2749,No,21,Yes
Candidate,HSP90B1,ENSG00000166598,-1.447,0.148,0.2219,No,132,Yes
Candidate,ILF2,ENSG00000143621,-0.721,0.471,0.5383,No,140,Yes
Candidate,RNH1,ENSG00000023191,13.318,1.82e-40,1.455e-39,Yes,726,Yes
Candidate,RPL13A,ENSG00000142541,3.328,0.000876,0.003004,Yes,575,Yes
Candidate,RPL8,ENSG00000161016,-1.233,0.218,0.29,No,1235,Yes
Candidate,RPLP0,ENSG00000089157,2.906,0.00366,0.01099,Yes,126,Yes
Candidate,RPS13,ENSG00000110700,1.201,0.23,0.2901,No,136,Yes
Candidate,RPS14,ENSG00000164587,0.539,0.59,0.6436,No,197,Yes
Candidate,RPS16,ENSG00000105193,-2.349,0.0188,0.04514,Yes,386,Yes
Candidate,RPS18,ENSG00000231500,13.401,5.93e-41,7.12e-40,Yes,379,Yes
Candidate,RPS25,ENSG00000118181,2.794,0.00521,0.0139,Yes,174,Yes
Candidate,RPS3,ENSG00000149273,1.558,0.119,0.2042,No,25,Yes
Candidate,RPSA,ENSG00000168028,-0.324,0.746,0.7462,No,475,Yes
Candidate,TUBB,ENSG00000196230,48.516,0,0,Yes,359,Yes
Candidate,VCP,ENSG00000165280,1.465,0.143,0.2219,No,936,Yes
Candidate,XRCC5,ENSG00000079246,-0.989,0.323,0.3873,No,370,Yes
Candidate,XRCC6,ENSG00000196419,3.876,0.000106,0.0004387,Yes,495,Yes
Candidate,YWHAQ,ENSG00000134308,2.231,0.0257,0.056,No,398,Yes
Candidate,RPL5,ENSG00000122406,,,,Not testable,0,No
NonCandidate,ANXA1,ENSG00000135046,2.139,0.0324,0.06486,No,1572,Yes
NonCandidate,ANXA5,ENSG00000164111,-1.541,0.123,0.1849,No,1654,Yes
NonCandidate,C1QBP,ENSG00000108561,0.760,0.447,0.565,No,56,Yes
NonCandidate,CCT3,ENSG00000163468,-1.946,0.0516,0.08845,No,545,Yes
NonCandidate,EEF2,ENSG00000167658,-0.827,0.408,0.5442,No,188,Yes
NonCandidate,EHD4,ENSG00000103966,2.328,0.0199,0.04929,Yes,1631,Yes
NonCandidate,GNA13,ENSG00000120063,-14.066,6.19e-45,1.485e-43,Yes,196,Yes
NonCandidate,HNRNPK,ENSG00000165119,2.143,0.0321,0.06486,No,1,Yes
NonCandidate,HSPB1,ENSG00000106211,2.384,0.0171,0.04929,Yes,415,Yes
NonCandidate,MFAP1,ENSG00000140259,3.525,0.000423,0.00145,Yes,773,Yes
NonCandidate,MYH9,ENSG00000100345,-0.068,0.946,0.9455,No,365,Yes
NonCandidate,NCL,ENSG00000115053,0.164,0.87,0.9455,No,496,Yes
NonCandidate,PDIA3,ENSG00000167004,-0.275,0.783,0.9401,No,394,Yes
NonCandidate,PDIA6,ENSG00000143870,1.156,0.248,0.3494,No,565,Yes
NonCandidate,PNN,ENSG00000100941,-5.173,2.3e-07,1.378e-06,Yes,758,Yes
NonCandidate,PUF60,ENSG00000179950,0.134,0.894,0.9455,No,20,Yes
NonCandidate,RPL10A,ENSG00000198755,4.443,8.87e-06,4.256e-05,Yes,1408,Yes
NonCandidate,RPL14,ENSG00000188846,1.895,0.0581,0.09301,No,1335,Yes
NonCandidate,RPL27A,ENSG00000166441,-0.117,0.907,0.9455,No,859,Yes
NonCandidate,RPN1,ENSG00000163902,-2.014,0.044,0.08121,No,865,Yes
NonCandidate,RPS3A,ENSG00000145425,4.006,6.17e-05,0.0002467,Yes,750,Yes
NonCandidate,RPS8,ENSG00000142937,5.191,2.09e-07,1.378e-06,Yes,1424,Yes
NonCandidate,RRBP1,ENSG00000125844,-5.911,3.4e-09,4.083e-08,Yes,562,Yes
NonCandidate,UBA52,ENSG00000221983,-2.316,0.0205,0.04929,Yes,619,Yes
NonCandidate,HSPD1,ENSG00000144381,,,,Not testable,0,No
NonCandidate,PCBP2,ENSG00000197111,,,,Not testable,0,No
NonCandidate,SERPINB9,ENSG00000170542,,,,Not testable,0,No
