gene,ensg,trait,zscore,pvalue,n_snps_model,n_snps_matched,n_dropped,grp
ACTB,ENSG00000075624,DR,1.5653,0.11751677186446778,23,23,0,Candidate
ANKRD40,ENSG00000154945,DR,-1.9986,0.04564739970638693,137,130,7,HK_v2
ANXA1,ENSG00000135046,DR,2.1391,0.032424009413198396,1635,1572,63,NonCandidate
ANXA5,ENSG00000164111,DR,-1.5413,0.12323188716244564,1769,1654,115,NonCandidate
AP3M1,ENSG00000185009,DR,3.0134,0.0025831296902191756,863,823,40,HK_v2
ATG101,ENSG00000123395,DR,-2.0264,0.042728200183012266,161,156,5,HK_v2
C1QBP,ENSG00000108561,DR,0.76,0.4472449338788143,64,56,8,NonCandidate
CAMK1D,ENSG00000183049,DR,3.0832,0.002047631269012409,1402,1276,126,T2DM_Control
CCT3,ENSG00000163468,DR,-1.9465,0.051593914611430126,579,545,34,NonCandidate
CDKAL1,ENSG00000145996,DR,0.7504,0.4529858603121576,820,779,41,T2DM_Control
CFDP1,ENSG00000153774,DR,-1.2473,0.21226936827086532,1387,1317,70,HK_v2
CKAP4,ENSG00000136026,DR,4.7549,1.9854708184169584e-06,659,633,26,Candidate
CUL1,ENSG00000055130,DR,-2.4436,0.014540639250782946,275,261,14,HK_v2
DCTN2,ENSG00000175203,DR,4.9961,5.849405215372343e-07,233,219,14,HK_v2
DDX5,ENSG00000108654,DR,-3.8681,0.00010966765002007246,367,335,32,Candidate
DNAJC4,ENSG00000110011,DR,-4.7196,2.362902267317932e-06,95,94,1,HK_v2
DUSP8,ENSG00000184545,DR,-7.6732,1.6772611588835177e-14,316,298,18,T2DM_Control
E2F4,ENSG00000205250,DR,-6.6232,3.515393421497344e-11,933,885,48,HK_v2
EEF2,ENSG00000167658,DR,-0.8271,0.4081993379442447,206,188,18,NonCandidate
EHD4,ENSG00000103966,DR,2.3279,0.01991723380051117,1731,1631,100,NonCandidate
EIF4H,ENSG00000106682,DR,-1.7202,0.08539685215904445,156,150,6,Candidate
FIBP,ENSG00000172500,DR,0.8001,0.4236650713474312,986,915,71,HK_v2
FTO,ENSG00000140718,DR,0.3964,0.6917780218043132,415,406,9,T2DM_Control
GCKR,ENSG00000084734,DR,,,0,0,0,T2DM_Control
GNA13,ENSG00000120063,DR,-14.0655,6.189226947577264e-45,215,196,19,NonCandidate
GOLGA3,ENSG00000090615,DR,-6.9412,3.887973165441306e-12,947,778,169,HK_v2
GRB14,ENSG00000115290,DR,-3.7593,0.00017037335835182887,239,231,8,T2DM_Control
H2AFV,ENSG00000105968,DR,0.3956,0.6924034983519683,265,248,17,Candidate
HHEX,ENSG00000152804,DR,-2.468,0.013588193621355917,1312,1243,69,T2DM_Control
HNRNPK,ENSG00000165119,DR,2.1435,0.03207651090624507,2,1,1,NonCandidate
HSP90AB1,ENSG00000096384,DR,-1.2968,0.19471224075517682,21,21,0,Candidate
HSP90B1,ENSG00000166598,DR,-1.4469,0.14793259169292844,135,132,3,Candidate
HSPB1,ENSG00000106211,DR,2.3839,0.017128756217882842,427,415,12,NonCandidate
HSPD1,ENSG00000144381,DR,,,0,0,0,NonCandidate
ILF2,ENSG00000143621,DR,-0.7208,0.4710150667381472,153,140,13,Candidate
JAZF1,ENSG00000153814,DR,-6.1906,5.992102566373391e-10,869,816,53,T2DM_Control
KCNJ11,ENSG00000187486,DR,2.7149,0.006630065720994058,467,448,19,T2DM_Control
KDM4B,ENSG00000127663,DR,3.3463,0.0008190189011925791,706,658,48,HK_v2
KLF14,ENSG00000266265,DR,,,0,0,0,T2DM_Control
LSM12,ENSG00000161654,DR,-6.3195,2.6245638979220896e-10,90,87,3,HK_v2
MAPK1IP1L,ENSG00000168175,DR,0.8693,0.38468934485052453,88,80,8,HK_v2
MCMBP,ENSG00000197771,DR,-4.6111,4.004960888365126e-06,1577,1479,98,HK_v2
MFAP1,ENSG00000140259,DR,3.5253,0.0004229784812016722,833,773,60,NonCandidate
MYH9,ENSG00000100345,DR,-0.0683,0.9455450603245809,391,365,26,NonCandidate
NCL,ENSG00000115053,DR,0.164,0.8697100222993936,515,496,19,NonCandidate
