Gene,Trait,Tissue,Group,Z_eQTLGen,P_eQTLGen,n_SNPs_Model,n_SNPs_Matched
ENO1,DR,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,3.5755,0.00034957916602573746,641,624
RPS8,DR,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,26.5358,0.0,1274,1215
ILF2,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-2.282,0.022492066008083622,128,118
CCT3,DR,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-6.3203,2.6105828609956916e-10,372,353
YWHAQ,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-8.6388,0.0,321,306
GRB14,DR,eQTLGen_Whole_Blood,30_T2DM_Control,0.673,0.500961662333991,140,137
XRCC5,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-5.6195,1.9154301478252478e-08,281,276
PPARG,DR,eQTLGen_Whole_Blood,30_T2DM_Control,-1.3366,0.18135116039999732,1127,1074
RPSA,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,0.7364,0.46148939678089107,191,180
RPL14,DR,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,7.3506,1.9739765377835283e-13,1159,1097
APPL1,DR,eQTLGen_Whole_Blood,30_T2DM_Control,1.0113,0.3118939642157508,30,29
RPN1,DR,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-7.5917,3.1530333899354446e-14,785,737
ST6GAL1,DR,eQTLGen_Whole_Blood,30_T2DM_Control,1.2084,0.2268863028958763,540,515
ANXA5,DR,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-3.2574,0.001124396804985217,1176,1108
RPS3A,DR,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,3.4198,0.0006266180748562,515,490
PAM,DR,eQTLGen_Whole_Blood,30_T2DM_Control,11.532,0.0,4665,4477
RPS14,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,2.8735,0.00405957731543416,149,144
RREB1,DR,eQTLGen_Whole_Blood,30_T2DM_Control,19.8177,0.0,355,338
CDKAL1,DR,eQTLGen_Whole_Blood,30_T2DM_Control,2.4599,0.013895649899253515,517,502
TUBB,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,47.8313,0.0,830,146
RPS18,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,7.5234,5.3290705182007514e-14,511,156
RPL10A,DR,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-4.1237,3.728382715650902e-05,924,909
HSP90AB1,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-0.4909,0.6235124048307294,1,1
ACTB,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-2.0029,0.04519337600382389,2,2
JAZF1,DR,eQTLGen_Whole_Blood,30_T2DM_Control,-3.5353,0.00040730518591947096,649,622
GCK,DR,eQTLGen_Whole_Blood,30_T2DM_Control,3.4253,0.0006140750022369801,51,50
H2AFV,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-2.4704,0.013495898278108598,197,186
EIF4H,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,4.8829,1.0452875085498192e-06,144,139
HSPB1,DR,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,6.8638,6.704858890316245e-12,226,222
PABPC1,DR,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,0.5835,0.5595867905718743,147,142
PUF60,DR,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-0.3587,0.7198517527466244,7,7
RPL8,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,0.0409,0.9673873258593346,1052,976
VCP,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,3.2246,0.0012614268661297334,796,763
ANXA1,DR,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-1.7293,0.08375331089480964,1227,1197
CAMK1D,DR,eQTLGen_Whole_Blood,30_T2DM_Control,3.0947,0.001970031953716145,951,914
HHEX,DR,eQTLGen_Whole_Blood,30_T2DM_Control,-6.682,2.3570478902001923e-11,996,954
RNH1,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,11.6172,0.0,714,587
DUSP8,DR,eQTLGen_Whole_Blood,30_T2DM_Control,-8.6822,0.0,201,195
RPL27A,DR,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-3.1107,0.0018664821545244514,641,623
RPS13,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,0.3733,0.7089474058848706,30,28
KCNJ11,DR,eQTLGen_Whole_Blood,30_T2DM_Control,0.819,0.4127911679198615,330,321
ARAP1,DR,eQTLGen_Whole_Blood,30_T2DM_Control,-0.2463,0.805485839405705,131,131
RPS3,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,0.8589,0.3904224297560486,22,22
SERPINH1,DR,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-3.7162,0.00020226396064870755,300,292
RPS25,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,13.8956,0.0,157,153
HSPA8,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,2.1083,0.03500154261887367,250,240
GAPDH,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,8.8216,0.0,470,443
HSP90B1,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-6.8904,5.5639937102114345e-12,23,23
CKAP4,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,6.1839,6.25535623299811e-10,460,448
RPLP0,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,7.9443,1.9984014443252818e-15,69,63
PNN,DR,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-21.5496,0.0,675,630
EHD4,DR,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-0.7085,0.4786434025090762,1209,1155
PDIA3,DR,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-3.5215,0.0004290345494244452,357,343
MFAP1,DR,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,14.3329,0.0,635,594
FTO,DR,eQTLGen_Whole_Blood,30_T2DM_Control,2.0337,0.04198515007669168,238,234
RPL13,DR,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,12.6192,0.0,1331,1165
C1QBP,DR,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-0.7841,0.43300476675917055,10,6
SLC16A11,DR,eQTLGen_Whole_Blood,30_T2DM_Control,-0.2257,0.8214604878005882,37,37
EIF4A1,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,0.3875,0.6984048339342552,2,2
RPL23A,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,0.4609,0.6448599566964852,8,8
VAT1,DR,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-6.8872,5.6912252688334775e-12,940,866
DDX5,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-8.3346,0.0,281,257
GNA13,DR,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-10.0601,0.0,163,146
RPL17,DR,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,8.3437,0.0,1035,973
EEF2,DR,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,3.1606,0.0015745890128959772,156,144
ILF3,DR,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-1.0134,0.3108782945963324,18,17
TPM4,DR,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-7.2433,4.3787196091216174e-13,75,74
UBA52,DR,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-8.6837,0.0,536,500
RPS16,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,3.8897,0.00010038462898220857,311,301
RPL13A,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,6.0405,1.5361283356440936e-09,548,504
RRBP1,DR,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-6.9254,4.347633364432113e-12,385,375
MYH9,DR,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,1.5793,0.11427839821091812,315,299
XRCC6,DR,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-2.1911,0.028442366522608786,69,64
ENO1,DN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-13.3193,0.0,641,624
RPS8,DN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,22.7541,0.0,1274,1215
ILF2,DN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-0.5297,0.5962953446506647,128,118
CCT3,DN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,12.7509,0.0,372,353
YWHAQ,DN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,17.6492,0.0,321,306
GRB14,DN,eQTLGen_Whole_Blood,30_T2DM_Control,0.8152,0.4149772439507742,140,137
XRCC5,DN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,0.6144,0.5389446038769274,281,276
PPARG,DN,eQTLGen_Whole_Blood,30_T2DM_Control,7.8666,3.552713678800501e-15,1127,1074
RPSA,DN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,15.0507,0.0,191,180
RPL14,DN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-5.7288,1.0113639703490662e-08,1159,1097
APPL1,DN,eQTLGen_Whole_Blood,30_T2DM_Control,-1.3883,0.16504986815538025,30,29
RPN1,DN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-3.3871,0.0007064321307241883,785,737
ST6GAL1,DN,eQTLGen_Whole_Blood,30_T2DM_Control,-6.4247,1.3216983063557564e-10,540,515
ANXA5,DN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-2.0167,0.04372755746125634,1176,1108
RPS3A,DN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,12.1879,0.0,515,490
PAM,DN,eQTLGen_Whole_Blood,30_T2DM_Control,-13.1598,0.0,4665,4477
RPS14,DN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,3.9921,6.550390606241407e-05,149,144
RREB1,DN,eQTLGen_Whole_Blood,30_T2DM_Control,2.4232,0.015383874762402883,355,338
CDKAL1,DN,eQTLGen_Whole_Blood,30_T2DM_Control,-0.8506,0.3950141168161325,517,502
TUBB,DN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,38.5606,0.0,830,146
RPS18,DN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,8.8456,0.0,511,156
RPL10A,DN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,0.3645,0.7154658346674638,924,909
HSP90AB1,DN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-1.4564,0.14528349884705527,1,1
ACTB,DN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-0.3588,0.7197780257644635,2,2
JAZF1,DN,eQTLGen_Whole_Blood,30_T2DM_Control,-0.2358,0.8135653795143643,649,622
GCK,DN,eQTLGen_Whole_Blood,30_T2DM_Control,-0.3685,0.7124935173019913,51,50
H2AFV,DN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,6.608,3.895017641752929e-11,197,186
EIF4H,DN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,3.5709,0.00035575741739402034,144,139
HSPB1,DN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,6.9983,2.5912605394751154e-12,226,222
