Gene,Trait,Group,Z_eQTLGen,Z_GTEx,Same_Direction
RPS8,DR,44_NonCandidate_HOTAIR,26.5358,8.5157,True
CCT3,DR,44_NonCandidate_HOTAIR,-6.3203,-1.2134,True
GRB14,DR,30_T2DM_Control,0.673,3.2408,True
PPARG,DR,30_T2DM_Control,-1.3366,-5.3308,True
RPL14,DR,44_NonCandidate_HOTAIR,7.3506,0.8148,True
RPN1,DR,44_NonCandidate_HOTAIR,-7.5917,-2.7063,True
ST6GAL1,DR,30_T2DM_Control,1.2084,-0.8062,False
ANXA5,DR,44_NonCandidate_HOTAIR,-3.2574,-1.5379,True
PAM,DR,30_T2DM_Control,11.532,0.206,True
CDKAL1,DR,30_T2DM_Control,2.4599,6.6261,True
RPL10A,DR,44_NonCandidate_HOTAIR,-4.1237,-107.3873,True
JAZF1,DR,30_T2DM_Control,-3.5353,-2.429,True
HSPB1,DR,44_NonCandidate_HOTAIR,6.8638,4.4436,True
PUF60,DR,44_NonCandidate_HOTAIR,-0.3587,1.5585,False
ANXA1,DR,44_NonCandidate_HOTAIR,-1.7293,1.2913,False
CAMK1D,DR,30_T2DM_Control,3.0947,3.9862,True
HHEX,DR,30_T2DM_Control,-6.682,2.0459,False
DUSP8,DR,30_T2DM_Control,-8.6822,6.2101,False
RPL27A,DR,44_NonCandidate_HOTAIR,-3.1107,0.4733,False
KCNJ11,DR,30_T2DM_Control,0.819,1.6434,True
SERPINH1,DR,44_NonCandidate_HOTAIR,-3.7162,-1.0797,True
PNN,DR,44_NonCandidate_HOTAIR,-21.5496,-15.6446,True
EHD4,DR,44_NonCandidate_HOTAIR,-0.7085,12.2496,False
PDIA3,DR,44_NonCandidate_HOTAIR,-3.5215,1.6521,False
MFAP1,DR,44_NonCandidate_HOTAIR,14.3329,3.4332,True
FTO,DR,30_T2DM_Control,2.0337,9.3398,True
RPL13,DR,44_NonCandidate_HOTAIR,12.6192,-3.1546,False
C1QBP,DR,44_NonCandidate_HOTAIR,-0.7841,0.4253,False
VAT1,DR,44_NonCandidate_HOTAIR,-6.8872,-0.6357,True
GNA13,DR,44_NonCandidate_HOTAIR,-10.0601,-6.9307,True
RPL17,DR,44_NonCandidate_HOTAIR,8.3437,-2.9221,False
EEF2,DR,44_NonCandidate_HOTAIR,3.1606,1.0465,True
UBA52,DR,44_NonCandidate_HOTAIR,-8.6837,0.195,False
RRBP1,DR,44_NonCandidate_HOTAIR,-6.9254,1.0946,False
RPS8,DN,44_NonCandidate_HOTAIR,22.7541,6.8474,True
CCT3,DN,44_NonCandidate_HOTAIR,12.7509,3.1257,True
GRB14,DN,30_T2DM_Control,0.8152,7.0874,True
PPARG,DN,30_T2DM_Control,7.8666,0.2355,True
RPL14,DN,44_NonCandidate_HOTAIR,-5.7288,-0.4695,True
RPN1,DN,44_NonCandidate_HOTAIR,-3.3871,1.471,False
ST6GAL1,DN,30_T2DM_Control,-6.4247,-2.8081,True
