gene,tissue,trait,zscore,pvalue,n_snps_model,n_snps_matched
ACTB,Nerve_Tibial,DPN,0.6193,0.5357021447316415,1,1
ANXA1,Nerve_Tibial,DPN,-17.414,6.462015568739764e-68,1,1
ANXA5,Nerve_Tibial,DPN,1.8899,0.05877292242181049,3,3
APPL1,Nerve_Tibial,DPN,-10.0079,1.4065995821382415e-23,1,1
ARAP1,Nerve_Tibial,DPN,1.0072,0.31384227364123773,2,2
C1QBP,Nerve_Tibial,DPN,-4.4759,7.610373254589784e-06,2,2
CAMK1D,Nerve_Tibial,DPN,1.9132,0.05571986805828572,2,1
CCT3,Nerve_Tibial,DPN,-4.242,2.215791831409821e-05,2,2
CDKAL1,Nerve_Tibial,DPN,-1.5143,0.1299446868966723,3,3
CKAP4,Nerve_Tibial,DPN,12.2379,1.9489349823557548e-34,2,2
DDX5,Nerve_Tibial,DPN,-1.0683,0.28539645091791854,1,1
DHX9,Nerve_Tibial,DPN,7.9564,1.7718697888793586e-15,1,1
DUSP8,Nerve_Tibial,DPN,1.4254,0.1540309916336558,2,1
EEF2,Nerve_Tibial,DPN,1.3533,0.17597315722168572,2,2
EHD4,Nerve_Tibial,DPN,-1.5296,0.1261054706050719,3,3
EIF4A1,Nerve_Tibial,DPN,0.4719,0.6369872092115506,1,1
FTO,Nerve_Tibial,DPN,-12.8992,4.547462963785542e-38,1,1
GAPDH,Nerve_Tibial,DPN,2.6374,0.008354394099474017,2,2
GCK,Nerve_Tibial,DPN,-0.0864,0.9311745699899361,3,3
GCKR,Nerve_Tibial,DPN,-3.9335,8.372721722947615e-05,1,1
GRB14,Nerve_Tibial,DPN,1.5633,0.1179746153342791,1,1
H2AFV,Nerve_Tibial,DPN,3.3723,0.0007455237753232529,2,2
HHEX,Nerve_Tibial,DPN,2.8637,0.004187037519157208,1,1
HNRNPA3,Nerve_Tibial,DPN,2.9942,0.002751464757705857,1,1
HSP90AB1,Nerve_Tibial,DPN,10.9345,7.882108310034506e-28,3,3
HSP90B1,Nerve_Tibial,DPN,0.3115,0.7554389430401984,2,2
JAZF1,Nerve_Tibial,DPN,0.2166,0.8285253094749793,2,2
KCNJ11,Nerve_Tibial,DPN,-0.0405,0.9677029088631971,2,2
MYH9,Nerve_Tibial,DPN,-0.5727,0.5668343291494131,2,2
PDIA3,Nerve_Tibial,DPN,9.9541,2.4196321627894743e-23,1,1
PNN,Nerve_Tibial,DPN,-11.7588,6.362889522549583e-32,1,1
PPARG,Nerve_Tibial,DPN,-1.1876,0.23499717883933569,1,1
PROX1,Nerve_Tibial,DPN,-1.8998,0.05745927109479778,1,1
PUF60,Nerve_Tibial,DPN,1.3391,0.18055358267133415,1,1
RNH1,Nerve_Tibial,DPN,8.5736,1.0026420404644111e-17,4,4
RPL10A,Nerve_Tibial,DPN,-2.6557,0.00791352130034988,5,5
RPL13,Nerve_Tibial,DPN,0.4133,0.6793813895697818,2,2
RPL13A,Nerve_Tibial,DPN,0.8092,0.41841177197153223,1,1
RPL14,Nerve_Tibial,DPN,-2.0941,0.0362509478572145,1,1
RPL17,Nerve_Tibial,DPN,0.3135,0.7539310921589095,1,1
RPL23A,Nerve_Tibial,DPN,7.6632,1.8139304499362485e-14,1,1
RPL27A,Nerve_Tibial,DPN,-2.3643,0.01806535671123821,2,2
RPL7,Nerve_Tibial,DPN,-1.0026,0.31605958232326303,1,1
RPL7A,Nerve_Tibial,DPN,-1.0204,0.30753742735751477,2,2
RPL8,Nerve_Tibial,DPN,-2.1896,0.028555195709086333,1,1
RPLP0,Nerve_Tibial,DPN,1.0583,0.2899076162950902,2,2
RPN1,Nerve_Tibial,DPN,2.9578,0.0030985177068977438,3,1
RPS14,Nerve_Tibial,DPN,-1.3772,0.1684363516161318,3,1
RPS16,Nerve_Tibial,DPN,2.0639,0.039030533726696855,2,2
RPS18,Nerve_Tibial,DPN,9.9256,3.221766827424107e-23,2,2
RPS25,Nerve_Tibial,DPN,2.2843,0.022352700245177985,2,1
RPS3,Nerve_Tibial,DPN,-0.5073,0.6119553534392512,2,1
RPS3A,Nerve_Tibial,DPN,-6.2233,4.86956112682392e-10,2,1
RPS8,Nerve_Tibial,DPN,2.7498,0.005963268853553876,1,1
RPSA,Nerve_Tibial,DPN,-0.0364,0.9709378615651769,4,3
RRBP1,Nerve_Tibial,DPN,0.9096,0.36301796875448733,3,3
RREB1,Nerve_Tibial,DPN,1.9316,0.0534032748723322,1,1
SERPINH1,Nerve_Tibial,DPN,-9.304,1.3526355603774406e-20,2,2
SLC16A11,Nerve_Tibial,DPN,11.8045,3.699025700172539e-32,1,1
ST6GAL1,Nerve_Tibial,DPN,1.2191,0.2228054920378465,2,2
TPM4,Nerve_Tibial,DPN,-0.2898,0.7719713133418309,1,1
TUBB,Nerve_Tibial,DPN,1.1674,0.24305701535092672,1,1
UBA52,Nerve_Tibial,DPN,-1.9494,0.05124381955162907,2,2
VAT1,Nerve_Tibial,DPN,-1.9028,0.057068520790740485,1,1
VCP,Nerve_Tibial,DPN,-2.6803,0.007355883300462224,2,2
XRCC5,Nerve_Tibial,DPN,1.8105,0.07021308201939154,3,2
XRCC6,Nerve_Tibial,DPN,-0.0151,0.9879487415149784,2,2
