gene,tissue,trait,zscore,pvalue,n_snps_model,n_snps_matched
ACTB,Nerve_Tibial,DR,-1.769,0.07689582212207383,1,1
ANXA1,Nerve_Tibial,DR,-10.8981,1.1774458070764197e-27,1,1
ANXA5,Nerve_Tibial,DR,-0.024,0.9808322401793319,3,3
APPL1,Nerve_Tibial,DR,-7.811,5.67410340692271e-15,1,1
ARAP1,Nerve_Tibial,DR,-2.1893,0.028576431324923733,2,2
C1QBP,Nerve_Tibial,DR,-0.7199,0.4715634482784655,2,2
CAMK1D,Nerve_Tibial,DR,3.6323,0.00028089564455780657,2,1
CCT3,Nerve_Tibial,DR,-4.4538,8.437619008665576e-06,2,2
CDKAL1,Nerve_Tibial,DR,-2.0927,0.036377514475635656,3,3
CKAP4,Nerve_Tibial,DR,-3.2266,0.0012528729278089125,2,2
DDX5,Nerve_Tibial,DR,1.1656,0.2437652136682844,1,1
DHX9,Nerve_Tibial,DR,2.0696,0.03848720370201938,1,1
DUSP8,Nerve_Tibial,DR,-2.0892,0.03669295452359721,2,1
EEF2,Nerve_Tibial,DR,-3.0161,0.0025603505344198455,2,2
EHD4,Nerve_Tibial,DR,3.2676,0.0010847308836026096,3,3
EIF4A1,Nerve_Tibial,DR,4.5645,5.006117521615802e-06,1,1
FTO,Nerve_Tibial,DR,-0.0621,0.9504993091358028,1,1
GAPDH,Nerve_Tibial,DR,-0.0695,0.9445832287208077,2,2
GCK,Nerve_Tibial,DR,2.3971,0.016526456940338254,3,3
GCKR,Nerve_Tibial,DR,7.2518,4.1139640628684557e-13,1,1
GRB14,Nerve_Tibial,DR,-0.618,0.5365742435188872,1,1
H2AFV,Nerve_Tibial,DR,1.4177,0.15626724146942425,2,2
HHEX,Nerve_Tibial,DR,2.0459,0.04076691740458435,1,1
HNRNPA3,Nerve_Tibial,DR,3.3783,0.0007293431873726306,1,1
HSP90AB1,Nerve_Tibial,DR,3.8845,0.00010255297895431372,3,3
HSP90B1,Nerve_Tibial,DR,1.9964,0.04589221032186793,2,2
JAZF1,Nerve_Tibial,DR,0.0652,0.9480474444473063,2,2
KCNJ11,Nerve_Tibial,DR,0.1812,0.8561959377418524,2,2
MYH9,Nerve_Tibial,DR,1.2981,0.19424126231276706,2,2
PDIA3,Nerve_Tibial,DR,13.5157,1.263297564581744e-41,1,1
PNN,Nerve_Tibial,DR,-9.5202,1.729133939937596e-21,1,1
PPARG,Nerve_Tibial,DR,-1.0519,0.2928588196493487,1,1
PROX1,Nerve_Tibial,DR,-1.738,0.08221268090331663,1,1
PUF60,Nerve_Tibial,DR,1.5585,0.11910902965695723,1,1
RNH1,Nerve_Tibial,DR,13.8246,1.8105115032398722e-43,4,4
RPL10A,Nerve_Tibial,DR,-5.4849,4.137869966837443e-08,5,5
RPL13,Nerve_Tibial,DR,-3.1546,0.0016069663486672995,2,2
RPL13A,Nerve_Tibial,DR,-0.8005,0.423407176575913,1,1
RPL14,Nerve_Tibial,DR,-2.4388,0.014737832852029885,1,1
RPL17,Nerve_Tibial,DR,-5.8067,6.372589280313798e-09,1,1
RPL23A,Nerve_Tibial,DR,4.7399,2.1379344670246005e-06,1,1
RPL27A,Nerve_Tibial,DR,2.4653,0.013690079371898605,2,2
RPL7,Nerve_Tibial,DR,2.1763,0.02953062012224455,1,1
RPL7A,Nerve_Tibial,DR,-0.1196,0.9048136592122615,2,2
RPL8,Nerve_Tibial,DR,-1.0977,0.27233952158605146,1,1
RPLP0,Nerve_Tibial,DR,1.9268,0.05400361347779001,2,2
RPN1,Nerve_Tibial,DR,-0.3721,0.7098098750153219,3,1
RPS14,Nerve_Tibial,DR,-1.4853,0.1374763598528383,3,1
RPS16,Nerve_Tibial,DR,-0.0796,0.9365806286047085,2,2
RPS18,Nerve_Tibial,DR,6.8153,9.408619039532285e-12,2,2
RPS25,Nerve_Tibial,DR,3.7949,0.00014768036060978815,2,1
RPS3,Nerve_Tibial,DR,-0.4169,0.6767607277387535,2,1
RPS3A,Nerve_Tibial,DR,-1.6612,0.0966762711078278,2,1
RPS8,Nerve_Tibial,DR,8.5157,1.656315901691188e-17,1,1
RPSA,Nerve_Tibial,DR,1.2664,0.2053829073480531,4,3
RRBP1,Nerve_Tibial,DR,1.9256,0.05415746284376813,3,3
RREB1,Nerve_Tibial,DR,3.8128,0.00013738807399839618,1,1
SERPINH1,Nerve_Tibial,DR,-14.5157,9.642305819362207e-48,2,2
SLC16A11,Nerve_Tibial,DR,-5.0709,3.958978025514228e-07,1,1
ST6GAL1,Nerve_Tibial,DR,1.6809,0.09278437015234761,2,2
TPM4,Nerve_Tibial,DR,1.8469,0.06475703820113235,1,1
TUBB,Nerve_Tibial,DR,2.764,0.00570955115128485,1,1
UBA52,Nerve_Tibial,DR,0.2743,0.7838647620049906,2,2
VAT1,Nerve_Tibial,DR,-0.5921,0.553779461542804,1,1
VCP,Nerve_Tibial,DR,1.27,0.20406902357038081,2,2
XRCC5,Nerve_Tibial,DR,1.1497,0.2502760127299428,3,2
XRCC6,Nerve_Tibial,DR,0.4233,0.672055078102399,2,2
