gene,tissue,trait,zscore,pvalue,n_snps_model,n_snps_matched
ACTB,Whole_Blood,DN,-2.3488,0.01883373759600124,1,1
ANXA1,Whole_Blood,DN,1.7561,0.07907462853632338,3,3
ANXA5,Whole_Blood,DN,5.6947,1.2360086411060357e-08,4,4
C1QBP,Whole_Blood,DN,-1.353,0.17604234506734395,1,1
CAMK1D,Whole_Blood,DN,2.8468,0.004415464744201978,2,2
CCT3,Whole_Blood,DN,3.1257,0.0017739733484939543,1,1
CDKAL1,Whole_Blood,DN,9.1975,3.663173202964827e-20,2,2
CKAP4,Whole_Blood,DN,-2.7483,0.0059910175617803214,1,1
DDX5,Whole_Blood,DN,1.5011,0.13332409546614035,1,1
DUSP8,Whole_Blood,DN,-3.8558,0.00011537380353386468,2,2
EEF2,Whole_Blood,DN,-0.1918,0.8478655190352526,2,2
EHD4,Whole_Blood,DN,1.5661,0.11733431274231548,4,3
EIF4H,Whole_Blood,DN,0.0315,0.9748481226791069,2,2
FTO,Whole_Blood,DN,19.6962,2.3264252664939515e-86,2,2
GCKR,Whole_Blood,DN,9.5787,9.826532532795895e-22,1,1
GNA13,Whole_Blood,DN,-6.4415,1.1832443668891397e-10,1,1
GRB14,Whole_Blood,DN,7.0874,1.3668897983717783e-12,1,1
H2AFV,Whole_Blood,DN,-3.219,0.00128646129156898,2,2
HHEX,Whole_Blood,DN,1.1705,0.24178256202288595,2,1
HSP90AB1,Whole_Blood,DN,1.7638,0.07777328273662194,2,2
HSP90B1,Whole_Blood,DN,6.8908,5.548239106772257e-12,1,1
HSPB1,Whole_Blood,DN,3.7658,0.00016600431723294036,2,2
HSPD1,Whole_Blood,DN,-1.6072,0.10802100288789376,1,1
JAZF1,Whole_Blood,DN,-1.4627,0.1435524004369689,3,2
KCNJ11,Whole_Blood,DN,0.2828,0.7773391356497142,1,1
KLF14,Whole_Blood,DN,0.5242,0.6001087849294473,1,1
MFAP1,Whole_Blood,DN,3.2953,0.0009832034577248211,1,1
NCL,Whole_Blood,DN,-1.6943,0.0902151735942372,3,3
PAM,Whole_Blood,DN,-0.5945,0.5521663994570822,1,1
PCBP2,Whole_Blood,DN,-0.9323,0.3511735260864709,1,1
PDIA3,Whole_Blood,DN,1.3674,0.1715046854629615,2,2
PDIA6,Whole_Blood,DN,0.7765,0.43743342208311575,1,1
PNN,Whole_Blood,DN,6.7058,2.002514006524205e-11,2,2
PPARG,Whole_Blood,DN,0.2355,0.8138560739572558,1,1
PUF60,Whole_Blood,DN,0.8636,0.387812188418737,1,1
RNH1,Whole_Blood,DN,7.028,2.0958543383063447e-12,3,3
RPL10A,Whole_Blood,DN,-45.0479,0.0,3,2
RPL13,Whole_Blood,DN,0.0592,0.9527628722585465,1,1
RPL14,Whole_Blood,DN,-0.4695,0.6386848414613935,2,2
RPL17,Whole_Blood,DN,6.8622,6.77870726115543e-12,1,1
RPL27A,Whole_Blood,DN,0.8632,0.3880020771093462,2,2
RPL5,Whole_Blood,DN,-2.0563,0.039749764306134,1,1
RPL7A,Whole_Blood,DN,0.7909,0.4290242172085582,2,2
RPL8,Whole_Blood,DN,0.6471,0.517568161449689,2,1
RPLP0,Whole_Blood,DN,4.3313,1.4825465253887553e-05,2,2
RPN1,Whole_Blood,DN,1.471,0.1412825114330901,2,1
RPS14,Whole_Blood,DN,6.5269,6.71484988064977e-11,3,2
RPS16,Whole_Blood,DN,-1.355,0.17540271260931417,1,1
RPS18,Whole_Blood,DN,9.6069,7.473840010150855e-22,2,2
RPS25,Whole_Blood,DN,-2.0838,0.03718239455306016,2,2
RPS8,Whole_Blood,DN,6.8474,7.518629784142033e-12,1,1
RPSA,Whole_Blood,DN,2.4044,0.01619743573865032,4,3
RRBP1,Whole_Blood,DN,1.3665,0.17178793540676573,2,2
SERPINH1,Whole_Blood,DN,-1.0321,0.30200636611206744,2,2
ST6GAL1,Whole_Blood,DN,-2.8081,0.00498277634577497,1,1
TUBB,Whole_Blood,DN,3.0983,0.001946342684997549,1,1
UBA52,Whole_Blood,DN,0.4208,0.6738717509360882,2,2
VAT1,Whole_Blood,DN,-0.3804,0.7036852057267966,1,1
VCP,Whole_Blood,DN,1.8678,0.06179533849084407,2,2
XRCC5,Whole_Blood,DN,9.3545,8.398646228782345e-21,3,3
XRCC6,Whole_Blood,DN,-8.3745,5.5458457889417796e-17,2,2
YWHAQ,Whole_Blood,DN,0.2723,0.7853856359542766,1,1
