gene,tissue,trait,zscore,pvalue,n_snps_model,n_snps_matched
ACTB,Whole_Blood,DPN,1.4941,0.1351595193663623,1,1
ANXA1,Whole_Blood,DPN,6.5321,6.486926789601707e-11,3,3
ANXA5,Whole_Blood,DPN,-7.9752,1.5217051183227957e-15,4,4
C1QBP,Whole_Blood,DPN,-1.8171,0.06920785814675223,1,1
CAMK1D,Whole_Blood,DPN,-2.2566,0.024035496878195773,2,2
CCT3,Whole_Blood,DPN,2.568,0.010228345437417647,1,1
CDKAL1,Whole_Blood,DPN,0.9555,0.33929969431477636,2,2
CKAP4,Whole_Blood,DPN,4.7995,1.5907700230156753e-06,1,1
DDX5,Whole_Blood,DPN,-1.0683,0.28539645091791854,1,1
DUSP8,Whole_Blood,DPN,2.897,0.003767107597590817,2,2
EEF2,Whole_Blood,DPN,3.274,0.0010602809328224185,2,2
EHD4,Whole_Blood,DPN,-9.0387,1.5858223164053404e-19,4,3
EIF4H,Whole_Blood,DPN,-0.8204,0.41196003235560075,2,2
FTO,Whole_Blood,DPN,-2.0606,0.039343082526628326,2,2
GCKR,Whole_Blood,DPN,-3.9335,8.372721722947569e-05,1,1
GNA13,Whole_Blood,DPN,3.9429,8.048743249025467e-05,1,1
GRB14,Whole_Blood,DPN,-6.2231,4.873806212658002e-10,1,1
H2AFV,Whole_Blood,DPN,0.0976,0.9222860958022255,2,2
HHEX,Whole_Blood,DPN,2.8636,0.00418857135748114,2,1
HSP90AB1,Whole_Blood,DPN,-1.7674,0.07716608605420193,2,2
HSP90B1,Whole_Blood,DPN,4.5238,6.07426373204088e-06,1,1
HSPB1,Whole_Blood,DPN,2.113,0.034602704893075445,2,2
HSPD1,Whole_Blood,DPN,-0.9007,0.3677357832089393,1,1
JAZF1,Whole_Blood,DPN,-0.8571,0.3913985011846761,3,2
KCNJ11,Whole_Blood,DPN,0.7245,0.46878347519812036,1,1
KLF14,Whole_Blood,DPN,-0.5335,0.5936670043968274,1,1
MFAP1,Whole_Blood,DPN,-1.1947,0.23221619562343776,1,1
NCL,Whole_Blood,DPN,-0.1161,0.9075988463759272,3,3
PAM,Whole_Blood,DPN,-1.4359,0.15101724599982128,1,1
PCBP2,Whole_Blood,DPN,0.5974,0.5502442477925433,1,1
PDIA3,Whole_Blood,DPN,1.0609,0.2887526112503288,2,2
PDIA6,Whole_Blood,DPN,0.1549,0.8769380313527677,1,1
PNN,Whole_Blood,DPN,-8.8228,1.1158734805202286e-18,2,2
PPARG,Whole_Blood,DPN,-6.3268,2.502871272746757e-10,1,1
PUF60,Whole_Blood,DPN,1.3391,0.18055358267133415,1,1
RNH1,Whole_Blood,DPN,6.358,2.0439374489834626e-10,3,3
RPL10A,Whole_Blood,DPN,-52.7198,0.0,3,2
RPL13,Whole_Blood,DPN,0.4133,0.6793813895697817,1,1
RPL14,Whole_Blood,DPN,-1.3889,0.16487717246711042,2,2
RPL17,Whole_Blood,DPN,-1.2639,0.20625068407998304,1,1
RPL27A,Whole_Blood,DPN,-0.9429,0.3457135244550097,2,2
RPL5,Whole_Blood,DPN,0.5513,0.5813983398214557,1,1
RPL7A,Whole_Blood,DPN,1.5244,0.12740371596107133,2,2
RPL8,Whole_Blood,DPN,-2.1896,0.028555195709086333,2,1
RPLP0,Whole_Blood,DPN,2.1893,0.028572788138734484,2,2
RPN1,Whole_Blood,DPN,2.7169,0.006589995862346998,2,1
RPS14,Whole_Blood,DPN,0.4945,0.6209691894553598,3,2
RPS16,Whole_Blood,DPN,2.1793,0.02931180100119392,1,1
RPS18,Whole_Blood,DPN,9.9744,1.9719230854898073e-23,2,2
RPS25,Whole_Blood,DPN,-2.0214,0.04324292469404559,2,2
RPS8,Whole_Blood,DPN,2.7498,0.00596326885355387,1,1
RPSA,Whole_Blood,DPN,-0.7689,0.44193710744165693,4,3
RRBP1,Whole_Blood,DPN,-0.3309,0.7407046412918026,2,2
SERPINH1,Whole_Blood,DPN,0.4332,0.6648612789190276,2,2
ST6GAL1,Whole_Blood,DPN,-2.4228,0.015402632455975234,1,1
TUBB,Whole_Blood,DPN,1.1674,0.24305701535092672,1,1
UBA52,Whole_Blood,DPN,-2.6012,0.009289091309594094,2,2
VAT1,Whole_Blood,DPN,-1.7857,0.07414382947638823,1,1
VCP,Whole_Blood,DPN,-3.2684,0.0010817110960905602,2,2
XRCC5,Whole_Blood,DPN,5.3291,9.86958041133673e-08,3,3
XRCC6,Whole_Blood,DPN,-8.2889,1.142855166758125e-16,2,2
YWHAQ,Whole_Blood,DPN,1.1234,0.26124990318479413,1,1
