gene,tissue,trait,zscore,pvalue,n_snps_model,n_snps_matched
ACTB,Whole_Blood,DR,-4.4751,7.636458242260981e-06,1,1
ANXA1,Whole_Blood,DR,1.2913,0.19659596641829324,3,3
ANXA5,Whole_Blood,DR,-1.5379,0.12408185200352785,4,4
C1QBP,Whole_Blood,DR,0.4253,0.6706353968882146,1,1
CAMK1D,Whole_Blood,DR,3.9862,6.71266483000993e-05,2,2
CCT3,Whole_Blood,DR,-1.2134,0.2249880495225871,1,1
CDKAL1,Whole_Blood,DR,6.6261,3.446535018940334e-11,2,2
CKAP4,Whole_Blood,DR,2.9709,0.0029688723914314324,1,1
DDX5,Whole_Blood,DR,1.1656,0.24376521366828452,1,1
DUSP8,Whole_Blood,DR,6.2101,5.296314080169554e-10,2,2
EEF2,Whole_Blood,DR,1.0465,0.2953258442803818,2,2
EHD4,Whole_Blood,DR,12.2496,1.6876293713513444e-34,4,3
EIF4H,Whole_Blood,DR,-1.4912,0.13590199178400883,2,2
FTO,Whole_Blood,DR,9.3398,9.65465651174031e-21,2,2
GCKR,Whole_Blood,DR,7.2518,4.1139640628684886e-13,1,1
GNA13,Whole_Blood,DR,-6.9307,4.18629193837738e-12,1,1
GRB14,Whole_Blood,DR,3.2408,0.0011917861428151978,1,1
H2AFV,Whole_Blood,DR,1.8663,0.06200170741201315,2,2
HHEX,Whole_Blood,DR,2.0459,0.040768064182547865,2,1
HSP90AB1,Whole_Blood,DR,-1.3859,0.16577291170153974,2,2
HSP90B1,Whole_Blood,DR,-0.0995,0.9207702352704011,1,1
HSPB1,Whole_Blood,DR,4.4436,8.844594562817652e-06,2,2
HSPD1,Whole_Blood,DR,-0.008,0.9935996988924317,1,1
JAZF1,Whole_Blood,DR,-2.429,0.015141934273121481,3,2
KCNJ11,Whole_Blood,DR,1.6434,0.10030978135296649,1,1
KLF14,Whole_Blood,DR,1.4375,0.1505782136990521,1,1
MFAP1,Whole_Blood,DR,3.4332,0.0005964263271544018,1,1
NCL,Whole_Blood,DR,-2.8117,0.004928593230175834,3,3
PAM,Whole_Blood,DR,0.206,0.836781487026655,1,1
PCBP2,Whole_Blood,DR,0.5645,0.5723927168299183,1,1
PDIA3,Whole_Blood,DR,1.6521,0.09850698744726685,2,2
PDIA6,Whole_Blood,DR,0.1573,0.8750292398221453,1,1
PNN,Whole_Blood,DR,-15.6446,3.61499902787809e-55,2,2
PPARG,Whole_Blood,DR,-5.3308,9.77666210661084e-08,1,1
PUF60,Whole_Blood,DR,1.5585,0.11910902965695717,1,1
RNH1,Whole_Blood,DR,12.4974,7.714872779759854e-36,3,3
RPL10A,Whole_Blood,DR,-107.3873,0.0,3,2
RPL13,Whole_Blood,DR,-3.1546,0.0016069663486672995,1,1
RPL14,Whole_Blood,DR,0.8148,0.41520540971847075,2,2
RPL17,Whole_Blood,DR,-2.9221,0.0034772624255721466,1,1
RPL27A,Whole_Blood,DR,0.4733,0.6359972435860786,2,2
RPL5,Whole_Blood,DR,1.1868,0.2353257000491481,1,1
RPL7A,Whole_Blood,DR,1.1666,0.24336152436918312,2,2
RPL8,Whole_Blood,DR,-1.0977,0.27233952158605146,2,1
RPLP0,Whole_Blood,DR,4.6646,3.0922762944622113e-06,2,2
RPN1,Whole_Blood,DR,-2.7063,0.006804597009958192,2,1
RPS14,Whole_Blood,DR,0.166,0.8681597630015213,3,2
RPS16,Whole_Blood,DR,-1.0943,0.27381818294201554,1,1
RPS18,Whole_Blood,DR,6.9782,2.99062942317898e-12,2,2
RPS25,Whole_Blood,DR,5.7733,7.77363221231997e-09,2,2
RPS8,Whole_Blood,DR,8.5157,1.656315901691188e-17,1,1
RPSA,Whole_Blood,DR,0.5468,0.5845165836416707,4,3
RRBP1,Whole_Blood,DR,1.0946,0.27368160822582366,2,2
SERPINH1,Whole_Blood,DR,-1.0797,0.2802873083177302,2,2
ST6GAL1,Whole_Blood,DR,-0.8062,0.4201147395642534,1,1
TUBB,Whole_Blood,DR,2.764,0.00570955115128485,1,1
UBA52,Whole_Blood,DR,0.195,0.8453890675864304,2,2
VAT1,Whole_Blood,DR,-0.6357,0.5249684552697977,1,1
VCP,Whole_Blood,DR,2.4294,0.015124892134297773,2,2
XRCC5,Whole_Blood,DR,0.4657,0.6413964427986928,3,3
XRCC6,Whole_Blood,DR,-9.2325,2.6448177292805334e-20,2,2
YWHAQ,Whole_Blood,DR,3.6939,0.00022088046015749608,1,1
