Gene,Trait,Z_Nerve_Tibial,Z_Whole_Blood,Z_Multi,P_Multi,n_Tissues,FDR_q
ACTB,DR,-1.769,-4.4751,-4.518,6.243653590884077e-06,2,2.1445592768688784e-05
ANXA1,DR,-10.8981,1.2913,-6.2862,3.2534153602796625e-10,2,1.7134654230806222e-09
ANXA5,DR,-0.024,-1.5379,-1.1642,0.24436105019659327,2,0.31136327363759464
APPL1,DR,-7.811,,-7.811,5.6736015049711634e-15,1,4.482145188927219e-14
ARAP1,DR,-2.1893,,-2.1893,0.0285750423661574,1,0.05505922797381548
C1QBP,DR,-0.7199,0.4253,-0.1614,0.8717727151069564,2,0.9095482263216665
CAMK1D,DR,3.6323,3.9862,5.3926,6.94573267691827e-08,2,3.227722832214961e-07
CCT3,DR,-4.4538,-1.2134,-3.8689,0.00010931106524212405,2,0.0003198360797825111
CDKAL1,DR,-2.0927,6.6261,3.5548,0.00037828750511207797,2,0.0009961570967951386
CKAP4,DR,-3.2266,2.9709,0.0715,0.9430225259368783,2,0.9567017817916285
DDX5,DR,1.1656,1.1656,1.6457,0.09982963811151752,2,0.15463806687862516
DHX9,DR,2.0696,,2.0696,0.03848981807419502,1,0.06910671881503197
DUSP8,DR,-2.0892,6.2101,3.2465,0.001168209577978163,2,0.002796622929099239
EEF2,DR,-3.0161,1.0465,-1.2252,0.22048665793456734,2,0.2903074329471803
EHD4,DR,3.2676,12.2496,11.3194,1.0524157229650244e-29,2,1.6628168422847387e-28
EIF4A1,DR,4.5645,,4.5645,5.006862012071366e-06,1,1.797918631607445e-05
EIF4H,DR,,-1.4912,-1.4912,0.13590899368800122,1,0.1988298240991129
FTO,DR,-0.0621,9.3398,6.9317,4.1570830901361746e-12,2,2.756858168127347e-11
GAPDH,DR,-0.0695,,-0.0695,0.9445916326550257,1,0.9567017817916285
GCK,DR,2.3971,,2.3971,0.01652541300358218,1,0.03528398992656735
GCKR,DR,7.2518,7.2518,10.2386,1.3311272130784146e-24,2,1.5022721404742108e-23
GNA13,DR,,-6.9307,-6.9307,4.187632660446604e-12,1,2.756858168127347e-11
GRB14,DR,-0.618,3.2408,2.0084,0.044598320720753155,2,0.07829482970976664
H2AFV,DR,1.4177,1.8663,2.3365,0.019463319873192192,2,0.040463217631110084
HHEX,DR,2.0459,2.0459,2.8886,0.003870192866751639,2,0.008992506955099396
HNRNPA3,DR,3.3783,,3.3783,0.0007293546485795345,1,0.0018005942886807258
HSP90AB1,DR,3.8845,-1.3859,1.5496,0.12124507857385158,2,0.18072379636479763
HSP90B1,DR,1.9964,-0.0995,1.2539,0.20988705546075093,2,0.28256125289182266
HSPB1,DR,,4.4436,4.4436,8.846600938815822e-06,1,2.7955258966658e-05
HSPD1,DR,,-0.008,-0.008,0.9936169915990727,1,0.9936169915990727
JAZF1,DR,0.0652,-2.429,-1.7701,0.07670990644766114,2,0.1262517210284423
KCNJ11,DR,0.1812,1.6434,1.3475,0.17781829795758686,2,0.25085081319016717
KLF14,DR,,1.4375,1.4375,0.1505759728248468,1,0.21628185187568905
MFAP1,DR,,3.4332,3.4332,0.0005965019136714292,1,0.001520117780001384
MYH9,DR,1.2981,,1.2981,0.1942529743238336,1,0.26922780651899747
NCL,DR,,-2.8117,-2.8117,0.004928044285410624,1,0.011123299958498267
PAM,DR,,0.206,0.206,0.8367909113052145,1,0.8933308377447561
PCBP2,DR,,0.5645,0.5645,0.5724139001526789,1,0.6460099730294518
PDIA3,DR,13.5157,1.6521,10.2252,1.52980776649243e-24,2,1.5106851694112748e-23
PDIA6,DR,,0.1573,0.1573,0.8750084202588184,1,0.9095482263216665
PNN,DR,-9.5202,-15.6446,-18.0138,1.5192491514836613e-72,2,4.000689432240308e-71
PPARG,DR,-1.0519,-5.3308,-4.6798,2.872164440577701e-06,2,1.080480908598278e-05
PROX1,DR,-1.738,,-1.738,0.08221081377542264,1,0.1325439650664977
PUF60,DR,1.5585,1.5585,2.2004,0.027778150998670446,2,0.05486184822237413
RNH1,DR,13.8246,12.4974,18.5277,1.2343045100387094e-76,2,4.875502814652902e-75
RPL10A,DR,-5.4849,-107.3873,-83.8238,0.0,2,0.0
RPL13,DR,-3.1546,-3.1546,-4.4539,8.432553123538423e-06,2,2.775715403164731e-05
RPL13A,DR,-0.8005,,-0.8005,0.423421163556685,1,0.49083551432850475
RPL14,DR,-2.4388,0.8148,-1.0142,0.3105084042314713,2,0.3832838114732224
RPL17,DR,-5.8067,-2.9221,-6.0447,1.4968900339726345e-09,2,7.390894542739883e-09
RPL23A,DR,4.7399,,4.7399,2.1382372211148703e-06,1,8.446037023403739e-06
RPL27A,DR,2.4653,0.4733,1.9935,0.04620946634412635,2,0.07935973567795612
RPL5,DR,,1.1868,1.1868,0.23530651884905562,1,0.30474122932910486
RPL7,DR,2.1763,,2.1763,0.02953283555111473,1,0.05554985734614437
RPL7A,DR,-0.1196,1.1666,0.7914,0.4287044365654029,2,0.49083551432850475
RPL8,DR,-1.0977,-1.0977,-1.5498,0.12118619714173995,2,0.18072379636479763
RPLP0,DR,1.9268,4.6646,4.7644,1.893913916875653e-06,2,7.874694707009293e-06
RPN1,DR,-0.3721,-2.7063,-2.2681,0.023325510167155564,2,0.04724911033859717
RPS14,DR,-1.4853,0.166,-0.8642,0.3874760693329189,2,0.45687476831791934
RPS16,DR,-0.0796,-1.0943,-0.87,0.38432485533769534,2,0.45687476831791934
RPS18,DR,6.8153,6.9782,9.744,1.957657040209824e-22,2,1.718387846406401e-21
RPS25,DR,3.7949,5.7733,6.835,8.20143328057754e-12,2,4.983947916658659e-11
RPS3,DR,-0.4169,,-0.4169,0.6767515535492798,1,0.7425468434776821
RPS3A,DR,-1.6612,,-1.6612,0.0966732855891517,1,0.15274379123085968
RPS8,DR,8.5157,8.5157,12.0231,2.6871850331838565e-33,2,5.307190440538116e-32
RPSA,DR,1.2664,0.5468,1.2507,0.21102675848882957,2,0.28256125289182266
RRBP1,DR,1.9256,1.0946,2.0983,0.03588009917638298,2,0.06591925197521524
RREB1,DR,3.8128,,3.8128,0.00013740129564142418,1,0.00038766794127401827
SERPINH1,DR,-14.5157,-1.0797,-10.4631,1.2763247832913237e-25,2,1.6804942980002427e-24
SLC16A11,DR,-5.0709,,-5.0709,3.959387901151274e-07,1,1.7377313566163926e-06
ST6GAL1,DR,1.6809,-0.8062,0.5164,0.6056017000731595,2,0.6738385113490085
TPM4,DR,1.8469,,1.8469,0.06476163475152122,1,0.10885466266745057
TUBB,DR,2.764,2.764,3.9024,9.523604184772173e-05,2,0.000289371050229616
UBA52,DR,0.2743,0.195,0.3281,0.742857233761473,2,0.8039139927007721
VAT1,DR,-0.5921,-0.6357,-0.8685,0.38510862013233704,2,0.45687476831791934
VCP,DR,1.27,2.4294,2.6587,0.007844693310005589,2,0.017214743652512264
XRCC5,DR,1.1497,0.4657,1.1126,0.2658973529551534,2,0.3334268394199542
XRCC6,DR,0.4233,-9.2325,-6.6113,3.808892373975127e-11,2,2.1493035538859648e-10
YWHAQ,DR,,3.6939,3.6939,0.00022084067851798855,1,0.0006016004690662446
ACTB,DN,-1.5936,-2.3488,-2.8138,0.004896108769861015,2,0.01208726852559438
ANXA1,DN,-19.3538,1.7561,-11.5646,6.229967234898627e-31,2,6.152092644462394e-30
ANXA5,DN,-1.7269,5.6947,3.1028,0.0019172133387084138,2,0.005409280491355882
APPL1,DN,1.3446,,1.3446,0.17875444336600843,1,0.28243202051829336
ARAP1,DN,-2.2401,,-2.2401,0.025084431545830878,1,0.053558651138395655
C1QBP,DN,-2.8837,-1.353,-2.9286,0.0034048432329883047,2,0.009275262600209519
CAMK1D,DN,1.8158,2.8468,3.3334,0.000857853222814337,2,0.0026065540231666393
CCT3,DN,-0.5401,3.1257,1.9743,0.0483458815846183,2,0.09315425963865477
CDKAL1,DN,-1.5653,9.1975,5.8254,5.69594973925359e-09,2,2.3683159442159664e-08
CKAP4,DN,4.1154,-2.7483,0.686,0.4927003294935207,2,0.5988204004613559
DDX5,DN,1.5011,1.5011,2.1194,0.034059737020598745,2,0.06899280063146924
DHX9,DN,3.9565,,3.9565,7.605588830872449e-05,1,0.0002612354424517059
DUSP8,DN,-1.1506,-3.8558,-3.6442,0.00026823395959885984,2,0.0008476193123323971
EEF2,DN,-1.1925,-0.1918,-0.9365,0.34899433567533045,2,0.47022608662263116
EHD4,DN,-1.339,1.5661,0.2784,0.7806787860896762,2,0.8617488491872058
EIF4A1,DN,0.0106,,0.0106,0.9915425820350333,1,0.9945996692869619
EIF4H,DN,,0.0315,0.0315,0.9748707921461663,1,0.9945996692869619
FTO,DN,4.7555,19.6962,17.8688,2.0631201562965273e-71,2,4.074662308685641e-70
GAPDH,DN,-2.7346,,-2.7346,0.00624561211385199,1,0.01495161687861537
GCK,DN,-2.9019,,-2.9019,0.0037090691938899962,1,0.009767215543910324
GCKR,DN,9.5787,9.5787,13.5239,1.1299766733582568e-41,2,1.7853631439060458e-40
GNA13,DN,,-6.4415,-6.4415,1.182984492516072e-10,1,5.497398524045276e-10
GRB14,DN,-0.9399,7.0874,4.6661,3.069358483068155e-06,2,1.1546634293446869e-05
H2AFV,DN,-6.3427,-3.219,-6.623,3.5209381064889985e-11,2,1.738463190078943e-10
HHEX,DN,1.1674,1.1705,1.6505,0.09883337325341324,2,0.17303833128042076
HNRNPA3,DN,10.8347,,10.8347,2.3573682017514725e-27,1,1.8623208793836634e-26
HSP90AB1,DN,24.8976,1.7638,17.8807,1.6677206358955276e-71,2,4.074662308685641e-70
HSP90B1,DN,3.4185,6.8908,7.4189,1.1810332703825747e-13,2,6.664402025730243e-13
HSPB1,DN,,3.7658,3.7658,0.00016601664903578695,1,0.0005464714697427987
HSPD1,DN,,-1.6072,-1.6072,0.10801050205165366,1,0.18154956727831148
JAZF1,DN,2.0074,-1.4627,0.2434,0.80766795615233,2,0.8622401153518118
KCNJ11,DN,0.351,0.2828,0.4446,0.6565727702119338,2,0.7409892692391825
KLF14,DN,,0.5242,0.5242,0.600139440905249,1,0.6919679749451318
MFAP1,DN,,3.2953,3.2953,0.0009831665943134849,1,0.0028766726278061224
MYH9,DN,-0.2435,,-0.2435,0.8076180851085512,1,0.8622401153518118
NCL,DN,,-1.6943,-1.6943,0.0902082905831251,1,0.16573151060620658
PAM,DN,,-0.5945,-0.5945,0.5521777422910252,1,0.6510752483729999
PCBP2,DN,,-0.9323,-0.9323,0.3511815077308258,1,0.47022608662263116
PDIA3,DN,7.8624,1.3674,6.2516,4.063182096337606e-10,2,1.7832854756148383e-09
PDIA6,DN,,0.7765,0.7765,0.4374538208105655,1,0.5574008361941076
PNN,DN,-5.1614,6.7058,1.5727,0.11577704130157042,2,0.19054971380883465
PPARG,DN,-2.1678,0.2355,-1.2664,0.20538140315991826,2,0.3061345443327083
PROX1,DN,-1.6477,,-1.6477,0.09941424805398577,1,0.17303833128042076
PUF60,DN,0.8636,0.8636,1.2193,0.22273254428703426,2,0.325849462938439
RNH1,DN,7.0023,7.028,9.9056,3.9379175855402905e-23,2,2.828140811433481e-22
RPL10A,DN,-0.7365,-45.0479,-34.1225,3.41901240431475e-255,2,2.7010197994086526e-253
RPL13,DN,0.0592,0.0592,0.0836,0.9333880401890633,2,0.9702323049333684
RPL13A,DN,-1.9555,,-1.9555,0.05052408336405545,1,0.09503339489905668
RPL14,DN,-0.9844,-0.4695,-1.0054,0.3146914177887411,2,0.4439396786662598
RPL17,DN,-6.27,6.8622,0.952,0.3411029769091757,2,0.47022608662263116
RPL23A,DN,2.1999,,2.1999,0.027813990726052912,1,0.05782382282521527
RPL27A,DN,-0.669,0.8632,0.1994,0.8419580534406685,2,0.8868624829575041
RPL5,DN,,-2.0563,-2.0563,0.0397536083075149,1,0.07851337640734193
RPL7,DN,0.6122,,0.6122,0.5404054415885091,1,0.6468489376589731
RPL7A,DN,-1.9765,0.7909,-0.7244,0.4687949561166088,2,0.578668773956439
RPL8,DN,0.6471,0.6471,0.9136,0.3609146951699832,2,0.4752043486404779
RPLP0,DN,5.2648,4.3313,6.7363,1.6248564057025958e-11,2,8.557577070033671e-11
RPN1,DN,0.3423,1.471,1.326,0.18485084253168027,2,0.2863375796078969
RPS14,DN,21.5281,6.5269,19.1951,4.06408835311724e-82,2,1.6053148994813097e-80
RPS16,DN,-0.2563,-1.355,-1.1821,0.23714723844837915,2,0.3406296697713082
RPS18,DN,9.3828,9.6069,13.4146,4.963276615037747e-41,2,6.534980876466367e-40
RPS25,DN,0.1561,-2.0838,-1.4519,0.146528025270854,2,0.2362390611509687
RPS3,DN,-2.3509,,-2.3509,0.01872806624900555,1,0.04109770093531774
RPS3A,DN,2.8864,,2.8864,0.00389676557718222,1,0.009930467116045012
RPS8,DN,6.8474,6.8474,9.6677,4.137107197078264e-22,2,2.723595571409857e-21
RPSA,DN,0.8985,2.4044,2.3929,0.01671733379652526,2,0.03773341056929987
RRBP1,DN,-1.5437,1.3665,-0.0068,0.9945996692869619,2,0.9945996692869619
