Gene,Group,Trait,Z_eQTLGen,Z_GTEx_Multi,Abs_Z_eQTLGen,Abs_Z_GTEx
RPS8,44_NonCandidate_HOTAIR,DR,26.5358,2.8991,26.5358,2.8991
CCT3,44_NonCandidate_HOTAIR,DR,-6.3203,-1.2593,6.3203,1.2593
GRB14,30_T2DM_Control,DR,0.673,0.0248,0.673,0.0248
PPARG,30_T2DM_Control,DR,-1.3366,-1.6462,1.3366,1.6462
RPL14,44_NonCandidate_HOTAIR,DR,7.3506,-0.0917,7.3506,0.0917
APPL1,30_T2DM_Control,DR,1.0113,-2.4075,1.0113,2.4075
RPN1,44_NonCandidate_HOTAIR,DR,-7.5917,-0.7144,7.5917,0.7144
ST6GAL1,30_T2DM_Control,DR,1.2084,0.6374,1.2084,0.6374
ANXA5,44_NonCandidate_HOTAIR,DR,-3.2574,-0.5748,3.2574,0.5748
RPS3A,44_NonCandidate_HOTAIR,DR,3.4198,-0.3475,3.4198,0.3475
PAM,30_T2DM_Control,DR,11.532,0.1221,11.532,0.1221
RREB1,30_T2DM_Control,DR,19.8177,2.2664,19.8177,2.2664
CDKAL1,30_T2DM_Control,DR,2.4599,0.9957,2.4599,0.9957
RPL10A,44_NonCandidate_HOTAIR,DR,-4.1237,-9.5889,4.1237,9.5889
JAZF1,30_T2DM_Control,DR,-3.5353,-1.475,3.5353,1.475
GCK,30_T2DM_Control,DR,3.4253,1.4973,3.4253,1.4973
HSPB1,44_NonCandidate_HOTAIR,DR,6.8638,3.4977,6.8638,3.4977
PUF60,44_NonCandidate_HOTAIR,DR,-0.3587,1.6896,0.3587,1.6896
ANXA1,44_NonCandidate_HOTAIR,DR,-1.7293,-0.0515,1.7293,0.0515
CAMK1D,30_T2DM_Control,DR,3.0947,3.3679,3.0947,3.3679
HHEX,30_T2DM_Control,DR,-6.682,0.8918,6.682,0.8918
DUSP8,30_T2DM_Control,DR,-8.6822,-3.0343,8.6822,3.0343
RPL27A,44_NonCandidate_HOTAIR,DR,-3.1107,0.9195,3.1107,0.9195
KCNJ11,30_T2DM_Control,DR,0.819,0.87,0.819,0.87
ARAP1,30_T2DM_Control,DR,-0.2463,-2.1966,0.2463,2.1966
SERPINH1,44_NonCandidate_HOTAIR,DR,-3.7162,-4.1405,3.7162,4.1405
PNN,44_NonCandidate_HOTAIR,DR,-21.5496,-5.4584,21.5496,5.4584
EHD4,44_NonCandidate_HOTAIR,DR,-0.7085,4.0855,0.7085,4.0855
PDIA3,44_NonCandidate_HOTAIR,DR,-3.5215,3.6144,3.5215,3.6144
MFAP1,44_NonCandidate_HOTAIR,DR,14.3329,0.6662,14.3329,0.6662
FTO,30_T2DM_Control,DR,2.0337,3.8063,2.0337,3.8063
RPL13,44_NonCandidate_HOTAIR,DR,12.6192,-2.1056,12.6192,2.1056
C1QBP,44_NonCandidate_HOTAIR,DR,-0.7841,-0.1555,0.7841,0.1555
SLC16A11,30_T2DM_Control,DR,-0.2257,-0.9865,0.2257,0.9865
