Gene,Trait,Z_GTEx,Z_eQTLGen,Same
ANXA1,DR,1.2913,2.1391,True
ANXA5,DR,-1.5379,-1.5413,True
C1QBP,DR,0.4253,0.76,True
CAMK1D,DR,3.9862,3.0832,True
CCT3,DR,-1.2134,-1.9465,True
CDKAL1,DR,6.6261,0.7504,True
DUSP8,DR,6.2101,-7.6732,False
EEF2,DR,1.0465,-0.8271,False
EHD4,DR,12.2496,2.3279,True
FTO,DR,9.3398,0.3964,True
GNA13,DR,-6.9307,-14.0655,True
GRB14,DR,3.2408,-3.7593,False
HHEX,DR,2.0459,-2.468,False
HSPB1,DR,4.4436,2.3839,True
JAZF1,DR,-2.429,-6.1906,True
KCNJ11,DR,1.6434,2.7149,True
MFAP1,DR,3.4332,3.5253,True
PAM,DR,0.206,1.4742,True
PDIA3,DR,1.6521,-0.2749,False
PNN,DR,-15.6446,-5.1735,True
PPARG,DR,-5.3308,-2.5581,True
PUF60,DR,1.5585,0.1338,True
RPL10A,DR,-107.3873,4.4431,False
RPL13,DR,-3.1546,3.4954,False
RPL14,DR,0.8148,1.8947,True
RPL17,DR,-2.9221,2.8261,False
RPL27A,DR,0.4733,-0.1166,False
RPN1,DR,-2.7063,-2.0142,True
RPS8,DR,8.5157,5.1913,True
RRBP1,DR,1.0946,-5.9109,False
SERPINH1,DR,-1.0797,-3.2174,True
ST6GAL1,DR,-0.8062,2.8041,False
UBA52,DR,0.195,-2.3164,False
VAT1,DR,-0.6357,-0.657,True
ANXA1,DN,1.7561,0.9673,True
ANXA5,DN,5.6947,-1.6541,False
C1QBP,DN,-1.353,4.452,False
CAMK1D,DN,2.8468,1.881,True
CCT3,DN,3.1257,3.3346,True
CDKAL1,DN,9.1975,-1.2657,False
DUSP8,DN,-3.8558,-6.7436,True
EEF2,DN,-0.1918,-2.8683,True
EHD4,DN,1.5661,1.3273,True
FTO,DN,19.6962,3.1078,True
GNA13,DN,-6.4415,-10.4523,True
GRB14,DN,7.0874,1.0794,True
HHEX,DN,1.1705,-4.6957,False
HSPB1,DN,3.7658,3.4717,True
JAZF1,DN,-1.4627,-0.4858,True
KCNJ11,DN,0.2828,-0.1127,False
MFAP1,DN,3.2953,3.7894,True
PAM,DN,-0.5945,0.2045,False
PDIA3,DN,1.3674,0.9568,True
PNN,DN,6.7058,-6.2893,False
PPARG,DN,0.2355,3.2474,True
PUF60,DN,0.8636,-5.6169,False
RPL10A,DN,-45.0479,5.203,False
RPL13,DN,0.0592,-0.7879,False
RPL14,DN,-0.4695,-0.8988,True
RPL17,DN,6.8622,-5.5993,False
RPL27A,DN,0.8632,2.6767,True
RPN1,DN,1.471,1.1368,True
RPS8,DN,6.8474,5.9686,True
RRBP1,DN,1.3665,-7.6399,False
SERPINH1,DN,-1.0321,-2.7494,True
ST6GAL1,DN,-2.8081,-2.1131,True
UBA52,DN,0.4208,-2.6782,False
VAT1,DN,-0.3804,-0.2103,True
ANXA1,DPN,6.5321,5.7086,True
ANXA5,DPN,-7.9752,-1.0043,True
C1QBP,DPN,-1.8171,0.9636,False
CAMK1D,DPN,-2.2566,-2.5799,True
CCT3,DPN,2.568,2.5588,True
CDKAL1,DPN,0.9555,-3.8137,False
DUSP8,DPN,2.897,-0.63,False
EEF2,DPN,3.274,4.3195,True
EHD4,DPN,-9.0387,1.6665,False
FTO,DPN,-2.0606,1.5747,False
GNA13,DPN,3.9429,2.7817,True
GRB14,DPN,-6.2231,-3.252,True
HHEX,DPN,2.8636,-4.5995,False
HSPB1,DPN,2.113,2.6011,True
JAZF1,DPN,-0.8571,-1.6458,True
KCNJ11,DPN,0.7245,2.2107,True
MFAP1,DPN,-1.1947,-1.6017,True
PAM,DPN,-1.4359,-3.1869,True
PDIA3,DPN,1.0609,-0.0757,False
PNN,DPN,-8.8228,-9.7507,True
PPARG,DPN,-6.3268,1.0101,False
PUF60,DPN,1.3391,5.4394,True
RPL10A,DPN,-52.7198,2.4027,False
RPL13,DPN,0.4133,-0.0348,False
RPL14,DPN,-1.3889,-0.9808,True
RPL17,DPN,-1.2639,-1.0496,True
RPL27A,DPN,-0.9429,0.5271,False
RPN1,DPN,2.7169,-0.6557,False
RPS8,DPN,2.7498,0.8548,True
RRBP1,DPN,-0.3309,-2.3415,True
SERPINH1,DPN,0.4332,2.8055,True
ST6GAL1,DPN,-2.4228,0.3598,False
UBA52,DPN,-2.6012,-0.9328,True
VAT1,DPN,-1.7857,-2.0989,True
