gene,phenotype,n_cis_snps_used,split_half_sign_concordance,full_model_Z
ANXA1,DR,1573,1.0000,0.845002
ANXA1,DN,1573,1.0000,0.38285
ANXA1,DPN,1573,1.0000,2.25611
ANXA5,DR,1655,1.0000,-0.504607
ANXA5,DN,1655,1.0000,-0.569042
ANXA5,DPN,1655,0.9850,-0.315182
C1QBP,DR,56,0.8600,0.358488
C1QBP,DN,56,1.0000,2.09992
C1QBP,DPN,56,0.9750,0.454528
CAMK1D,DR,1277,1.0000,1.40796
CAMK1D,DN,1277,1.0000,0.857525
CAMK1D,DPN,1277,1.0000,-1.17521
CCT3,DR,545,1.0000,-0.862013
CCT3,DN,545,1.0000,1.47671
CCT3,DPN,545,1.0000,1.13315
CDKAL1,DR,780,0.9900,0.234529
CDKAL1,DN,780,1.0000,-0.420301
CDKAL1,DPN,780,1.0000,-1.24387
DUSP8,DR,298,1.0000,-2.33707
DUSP8,DN,298,1.0000,-2.04712
DUSP8,DPN,298,0.9750,-0.205882
EEF2,DR,188,0.7650,-0.171849
EEF2,DN,188,1.0000,-0.595969
EEF2,DPN,188,1.0000,0.897505
EHD4,DR,1633,1.0000,0.748689
EHD4,DN,1633,1.0000,0.42786
EHD4,DPN,1633,1.0000,0.533979
FTO,DR,406,0.9800,0.178751
FTO,DN,406,1.0000,1.40126
FTO,DPN,406,1.0000,0.709993
GNA13,DR,196,1.0000,-2.47113
GNA13,DN,196,1.0000,-1.83634
GNA13,DPN,196,1.0000,0.488705
GRB14,DR,231,1.0000,-1.15614
GRB14,DN,231,1.0000,0.331955
GRB14,DPN,231,1.0000,-1.00014
HHEX,DR,1244,1.0000,-0.735691
HHEX,DN,1244,1.0000,-1.39725
HHEX,DPN,1244,1.0000,-1.36792
HSPB1,DR,415,1.0000,1.04529
HSPB1,DN,415,1.0000,1.52224
HSPB1,DPN,415,1.0000,1.1405
JAZF1,DR,816,1.0000,-1.95745
JAZF1,DN,816,0.8550,-0.153602
JAZF1,DPN,816,1.0000,-0.520385
KCNJ11,DR,448,1.0000,1.1425
KCNJ11,DN,448,0.8550,-0.0451181
KCNJ11,DPN,448,1.0000,0.935218
MFAP1,DR,775,1.0000,0.6699
MFAP1,DN,775,1.0000,0.721997
MFAP1,DPN,775,1.0000,-0.300685
NCL,DR,498,0.5600,0.0578133
NCL,DN,498,1.0000,-2.43345
NCL,DPN,498,1.0000,0.526715
PAM,DR,4669,1.0000,0.686198
PAM,DN,4669,0.9900,0.0948249
PAM,DPN,4669,1.0000,-1.48513
PDIA3,DR,395,1.0000,-0.115021
PDIA3,DN,395,1.0000,0.390572
PDIA3,DPN,395,0.6200,-0.0312822
PDIA6,DR,565,1.0000,0.590165
PDIA6,DN,565,1.0000,1.06598
PDIA6,DPN,565,1.0000,0.68518
PNN,DR,760,1.0000,-1.4816
PNN,DN,760,1.0000,-1.80416
PNN,DPN,760,1.0000,-2.79728
PPARG,DR,1432,1.0000,-0.919622
PPARG,DN,1432,1.0000,1.16035
PPARG,DPN,1432,1.0000,0.361855
PUF60,DR,20,0.1750,-0.00864151
PUF60,DN,20,1.0000,-0.473469
PUF60,DPN,20,1.0000,0.414027
RPL10A,DR,1408,1.0000,1.20792
RPL10A,DN,1408,1.0000,1.41309
RPL10A,DPN,1408,1.0000,0.651665
RPL14,DR,1336,1.0000,0.894782
RPL14,DN,1336,1.0000,-0.423282
RPL14,DPN,1336,1.0000,-0.468158
RPL27A,DR,860,0.7000,-0.0405269
RPL27A,DN,860,1.0000,0.929838
RPL27A,DPN,860,1.0000,0.181689
RPN1,DR,866,1.0000,-0.693382
RPN1,DN,866,1.0000,0.391627
RPN1,DPN,866,1.0000,-0.217271
RPS8,DR,1426,1.0000,1.49953
RPS8,DN,1426,1.0000,1.72295
RPS8,DPN,1426,1.0000,0.247122
RRBP1,DR,562,1.0000,-1.70282
RRBP1,DN,562,1.0000,-2.20093
RRBP1,DPN,562,1.0000,-0.674533
ST6GAL1,DR,613,1.0000,0.906254
ST6GAL1,DN,613,1.0000,-0.673766
ST6GAL1,DPN,613,0.5400,0.118042
UBA52,DR,621,1.0000,-0.897422
UBA52,DN,621,1.0000,-1.04821
UBA52,DPN,621,1.0000,-0.357638
